player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Rafael Nadal,87.5,hard,31.98,57.39,44.2,42.0,63.1,79.67,61.0
Novak Djokovic,84.21,hard,34.6,55.38,51.51,49.33,66.24,78.2,62.8
Dominic Thiem,76.67,hard,27.93,49.27,45.81,60.95,65.6,74.3,56.93
Stefanos Tsitsipas,76.19,hard,27.04,45.84,38.62,32.81,64.79,78.19,54.56
Benoit Paire,75.0,hard,29.51,45.16,38.7,83.81,52.97,77.49,50.09
Matteo Berrettini,75.0,hard,26.26,44.35,39.87,22.56,63.04,76.48,65.7
Roger Federer,75.0,hard,35.42,49.56,43.46,29.11,64.89,79.14,46.33
Casper Ruud,70.37,hard,21.38,46.55,38.1,114.88,64.96,67.25,41.78
Guido Pella,70.0,hard,25.18,51.63,37.04,41.3,64.94,69.34,54.05
Attila Balazs,70.0,hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Nadal,87.5,clay,41.4,56.69,49.13,86.29,68.25,71.85,59.47
Novak Djokovic,84.21,clay,36.36,51.71,60.3,107.47,66.4,75.33,54.09
Dominic Thiem,76.67,clay,32.91,52.71,46.53,46.2,66.21,72.8,59.08
Stefanos Tsitsipas,76.19,clay,35.01,50.5,46.64,68.55,62.94,73.61,49.78
Benoit Paire,75.0,clay,35.12,50.95,48.2,86.69,49.67,79.23,52.61
Matteo Berrettini,75.0,clay,30.49,51.87,39.95,40.96,58.59,78.75,60.16
Roger Federer,75.0,clay,30.23,53.03,48.34,28.22,63.39,75.95,61.78
Casper Ruud,70.37,clay,31.09,50.38,50.71,83.24,65.41,71.64,52.13
Guido Pella,70.0,clay,32.54,54.82,45.21,99.83,66.92,68.02,60.19
Attila Balazs,70.0,clay,30.41,44.95,54.76,162.12,59.41,69.23,57.09
Rafael Nadal,87.5,grass,33.17,53.5,43.82,27.88,61.73,81.78,62.09
Novak Djokovic,84.21,grass,34.64,56.43,49.4,55.13,64.86,78.61,55.88
Dominic Thiem,76.67,grass,10.14,43.94,0.0,20.0,61.26,75.0,52.38
Stefanos Tsitsipas,76.19,grass,27.5,45.6,18.62,92.73,63.23,75.29,57.58
Benoit Paire,75.0,grass,25.21,46.26,24.81,64.37,52.76,79.24,59.32
Matteo Berrettini,75.0,grass,26.72,49.07,37.48,27.14,63.42,83.89,63.08
Roger Federer,75.0,grass,32.19,50.02,50.01,16.64,65.12,81.64,65.66
Casper Ruud,70.37,grass,14.08,47.83,0.0,128.57,69.66,80.65,77.78
Guido Pella,70.0,grass,20.76,48.52,33.2,54.31,69.21,68.73,43.46
Attila Balazs,70.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
