player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Guillermo Coria,88.37,33.6,52.29,46.47,54.45,65.41,69.24,54.08,41.74,57.85,53.62,61.3,67.48,71.03,56.47,31.51,36.36,33.33,50.0,64.15,69.12,45.45
Juan Carlos Ferrero,86.84,30.51,53.12,40.81,47.72,61.0,73.53,57.63,33.73,55.87,48.42,74.38,59.11,72.1,54.36,27.06,56.57,50.09,82.74,60.85,72.33,51.4
Andre Agassi,81.82,34.62,55.49,49.06,63.99,61.24,76.45,55.16,41.23,59.34,56.08,115.91,62.95,74.11,70.62,28.52,52.08,43.92,28.22,65.14,78.26,55.74
Roger Federer,80.0,34.89,50.67,48.24,67.01,58.99,78.26,56.9,39.24,60.05,45.59,70.45,58.43,75.21,26.32,36.59,55.16,46.13,23.63,62.95,77.86,58.08
Lleyton Hewitt,80.0,36.4,58.11,48.0,57.06,51.09,79.96,59.74,40.44,58.08,52.3,199.41,52.24,68.36,51.96,27.65,47.68,44.94,88.33,56.63,71.99,63.96
Carlos Moya,78.72,30.71,48.36,43.72,83.18,54.54,75.15,59.87,35.61,53.09,45.69,65.68,55.76,75.11,61.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agustin Calleri,73.53,25.99,48.82,43.16,71.98,51.34,76.5,52.39,35.87,54.79,45.83,70.16,53.1,77.48,55.99,25.68,57.06,35.83,97.85,52.5,74.56,47.14
Tommy Robredo,73.33,27.61,51.47,42.91,142.3,67.54,65.96,45.1,34.59,55.61,46.34,90.47,71.0,65.9,52.84,23.76,51.3,43.06,94.32,63.47,74.01,51.87
Nicolas Massu,71.43,29.98,50.56,51.64,84.67,61.13,70.04,45.97,35.86,52.25,50.69,87.7,60.64,69.8,50.49,33.71,72.31,41.07,46.43,55.53,81.87,66.03
Felix Mantilla,70.37,27.1,47.12,32.36,84.97,59.08,65.56,57.04,31.81,55.2,46.65,73.87,63.64,68.1,52.43,9.09,43.64,50.0,114.29,64.83,77.66,41.18
