player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Novak Djokovic,91.67,hard,33.22,55.02,42.93,89.28,29.92,75.4,60.02
Roger Federer,85.71,hard,33.12,48.47,46.93,90.64,26.96,80.22,59.65
Marin Cilic,85.71,hard,30.2,50.71,39.89,86.8,24.64,79.69,53.61
Borna Coric,83.33,hard,29.02,51.42,48.95,84.93,27.26,74.3,54.66
John Isner,83.33,hard,22.91,41.45,30.74,91.6,11.38,80.51,53.93
Rafael Nadal,83.33,hard,32.93,55.38,47.97,82.58,33.84,72.01,53.26
Milos Raonic,75.0,hard,27.19,44.79,38.91,89.14,17.25,82.86,58.36
Kevin Anderson,75.0,hard,26.18,44.31,35.91,89.36,17.25,80.26,56.17
Jiri Vesely,75.0,hard,25.02,43.41,42.64,82.19,14.26,72.47,52.59
Mackenzie Mcdonald,71.43,hard,25.03,49.14,36.39,74.68,18.54,68.63,44.98
Novak Djokovic,91.67,clay,38.39,53.51,52.73,82.28,34.95,70.4,51.4
Roger Federer,85.71,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marin Cilic,85.71,clay,31.68,51.18,47.25,87.89,27.48,79.41,56.34
Borna Coric,83.33,clay,33.89,51.34,46.08,84.0,28.83,72.24,63.22
John Isner,83.33,clay,22.95,37.86,19.12,95.64,6.44,82.82,62.13
Rafael Nadal,83.33,clay,41.25,59.94,51.47,88.83,48.65,73.32,62.63
Milos Raonic,75.0,clay,30.35,50.92,22.85,91.13,20.78,79.83,54.08
Kevin Anderson,75.0,clay,30.86,41.73,32.32,81.71,19.25,75.46,51.56
Jiri Vesely,75.0,clay,28.0,51.44,36.37,68.18,25.8,64.83,40.5
Mackenzie Mcdonald,71.43,clay,21.43,43.48,50.0,55.56,11.11,60.71,40.91
Novak Djokovic,91.67,grass,34.92,56.86,41.4,93.61,35.57,82.66,55.0
Roger Federer,85.71,grass,31.42,49.8,43.28,94.35,21.56,85.1,65.6
Marin Cilic,85.71,grass,28.1,50.23,28.49,95.85,17.68,88.16,62.66
Borna Coric,83.33,grass,20.99,52.48,44.76,91.4,21.84,77.08,56.46
John Isner,83.33,grass,25.31,44.64,47.73,98.67,13.95,83.65,55.7
Rafael Nadal,83.33,grass,34.43,51.98,43.64,91.9,31.31,73.14,62.23
Milos Raonic,75.0,grass,25.97,50.9,35.28,96.64,19.6,85.81,62.66
Kevin Anderson,75.0,grass,27.0,44.33,37.89,91.64,13.12,80.8,61.36
Jiri Vesely,75.0,grass,23.87,50.02,49.98,88.47,17.14,71.96,53.66
Mackenzie Mcdonald,71.43,grass,26.35,44.24,39.57,92.03,14.6,74.43,53.74
