player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Rafael Nadal,95.83,hard,37.66,52.77,48.35,88.75,35.42,75.74,56.1
David Ferrer,86.49,hard,33.11,54.11,48.96,82.27,31.91,71.55,54.63
Juan Martin del Potro,85.0,hard,29.09,53.02,41.99,88.1,26.49,76.7,54.97
Roger Federer,83.33,hard,31.51,51.18,47.83,93.03,27.56,79.86,61.98
Novak Djokovic,80.0,hard,35.08,58.55,51.81,90.53,37.89,76.8,57.89
Nicolas Almagro,79.55,hard,25.95,49.33,35.5,86.02,20.29,76.44,60.28
Tomas Berdych,79.17,hard,29.89,53.92,40.75,86.73,27.91,79.02,55.17
Juan Monaco,78.12,hard,33.31,51.47,44.33,77.59,32.07,68.39,48.76
Andreas Seppi,76.19,hard,28.75,50.73,51.65,77.11,26.55,71.84,52.77
Janko Tipsarevic,75.0,hard,27.58,50.3,44.15,82.53,22.95,75.58,53.97
Rafael Nadal,95.83,clay,43.06,59.77,53.81,90.87,48.88,76.49,59.56
David Ferrer,86.49,clay,38.51,54.08,45.53,87.64,36.07,75.41,55.55
Juan Martin del Potro,85.0,clay,37.45,50.84,48.57,86.22,33.25,73.8,56.22
Roger Federer,83.33,clay,30.11,53.64,49.0,88.53,29.31,77.06,62.69
Novak Djokovic,80.0,clay,36.09,54.16,46.09,80.63,33.95,72.03,54.76
Nicolas Almagro,79.55,clay,31.72,52.19,41.29,85.04,25.95,77.27,56.31
Tomas Berdych,79.17,clay,36.12,51.45,58.88,87.54,33.23,76.61,57.22
Juan Monaco,78.12,clay,39.7,54.46,46.47,74.51,40.82,65.89,49.26
Andreas Seppi,76.19,clay,32.21,52.32,45.27,78.6,28.26,70.31,53.46
Janko Tipsarevic,75.0,clay,33.0,51.91,42.96,79.23,30.41,74.11,55.44
Rafael Nadal,95.83,grass,26.64,52.6,47.92,82.94,24.82,75.82,54.7
David Ferrer,86.49,grass,31.12,58.65,52.03,91.2,32.1,77.09,67.38
Juan Martin del Potro,85.0,grass,29.19,47.91,47.27,86.43,23.47,73.16,53.82
Roger Federer,83.33,grass,31.37,53.09,39.49,90.89,28.59,77.37,56.68
Novak Djokovic,80.0,grass,35.8,52.75,53.3,91.62,33.17,78.79,55.58
Nicolas Almagro,79.55,grass,24.48,55.84,48.57,86.25,21.08,79.04,55.17
Tomas Berdych,79.17,grass,20.92,48.32,50.54,87.98,16.67,79.44,56.52
Juan Monaco,78.12,grass,25.17,51.5,57.78,79.95,23.42,70.29,47.44
Andreas Seppi,76.19,grass,34.6,48.79,36.43,80.64,24.78,68.76,53.79
Janko Tipsarevic,75.0,grass,24.77,49.36,38.36,92.41,16.77,80.54,62.7
