player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Rafael Nadal,96.88,hard,30.55,50.21,40.83,79.95,65.94,73.13,61.2
Roger Federer,84.21,hard,32.55,54.63,42.56,15.25,63.24,79.02,62.49
Novak Djokovic,79.17,hard,32.65,53.63,44.83,48.32,63.66,75.29,58.17
Juan Monaco,77.78,hard,30.12,53.64,44.87,78.74,66.89,68.06,62.79
Paul Henri Mathieu,77.27,hard,30.23,50.6,44.58,86.12,56.15,73.39,56.87
David Ferrer,75.86,hard,33.39,55.63,49.5,59.47,65.32,70.22,55.68
Guillermo Canas,71.43,hard,31.84,48.44,43.02,47.33,57.88,72.93,71.25
Carlos Moya,71.43,hard,25.85,47.14,38.77,60.95,62.17,72.91,49.12
Lleyton Hewitt,70.59,hard,29.43,54.65,53.98,59.43,50.89,79.26,57.62
Marcos Baghdatis,70.59,hard,30.37,50.99,46.71,62.41,50.96,73.96,61.4
Rafael Nadal,96.88,clay,41.31,60.46,51.67,48.96,70.23,73.65,57.74
Roger Federer,84.21,clay,39.74,50.58,41.22,49.49,57.81,74.35,69.8
Novak Djokovic,79.17,clay,35.39,54.27,46.89,77.87,64.54,66.99,48.23
Juan Monaco,77.78,clay,34.95,53.36,56.61,52.85,63.85,69.71,57.67
Paul Henri Mathieu,77.27,clay,34.3,57.2,50.67,48.14,55.51,71.77,60.97
David Ferrer,75.86,clay,40.41,60.98,58.39,73.8,65.45,67.64,53.66
Guillermo Canas,71.43,clay,36.43,54.28,52.89,54.91,55.74,73.33,59.04
Carlos Moya,71.43,clay,35.77,51.52,48.81,65.59,61.39,73.44,32.6
Lleyton Hewitt,70.59,clay,33.37,53.58,43.11,38.19,56.95,72.34,87.65
Marcos Baghdatis,70.59,clay,37.74,46.59,44.73,60.22,52.07,72.19,57.7
Rafael Nadal,96.88,grass,29.87,52.56,47.5,67.06,67.3,77.89,63.04
Roger Federer,84.21,grass,34.51,47.67,50.04,7.92,64.44,79.13,61.66
Novak Djokovic,79.17,grass,26.51,53.12,35.11,26.03,66.72,74.84,55.37
Juan Monaco,77.78,grass,19.18,58.54,18.18,2.0,75.7,55.56,50.0
Paul Henri Mathieu,77.27,grass,28.42,54.06,42.52,35.75,56.7,80.04,65.58
David Ferrer,75.86,grass,25.2,61.58,35.0,50.0,72.57,66.44,39.22
Guillermo Canas,71.43,grass,28.02,46.91,34.82,27.07,63.4,77.38,67.71
Carlos Moya,71.43,grass,28.93,47.83,36.36,35.29,63.82,72.44,47.44
Lleyton Hewitt,70.59,grass,32.37,50.34,56.76,20.47,59.64,72.41,75.54
Marcos Baghdatis,70.59,grass,31.06,52.61,46.63,41.44,55.74,81.08,55.87
