player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Alex Corretja,83.87,hard,30.92,51.34,45.32,80.8,28.1,75.6,58.15
Gustavo Kuerten,82.86,hard,25.13,50.93,39.49,88.22,21.74,79.8,60.92
Magnus Norman,79.41,hard,28.96,52.82,47.17,81.51,27.99,72.99,48.77
Juan Carlos Ferrero,76.67,hard,26.17,50.58,37.87,75.09,21.21,68.53,55.04
Andrew Ilie,76.47,hard,24.46,47.17,27.54,67.69,13.77,66.67,52.36
Cedric Pioline,76.47,hard,29.88,49.94,39.67,82.78,24.28,80.97,53.65
Agustin Calleri,75.0,hard,26.32,43.58,36.14,87.39,18.33,83.93,57.8
Mariano Puerta,74.51,hard,18.71,37.52,22.67,65.25,8.82,59.84,44.12
Marat Safin,73.53,hard,28.97,52.76,42.03,81.78,26.87,79.22,56.38
Alex Calatrava,73.33,hard,31.89,46.97,53.55,83.16,25.42,77.94,53.38
Alex Corretja,83.87,clay,32.7,56.37,48.08,85.34,35.8,78.33,57.75
Gustavo Kuerten,82.86,clay,36.53,54.81,49.51,83.51,36.67,77.67,54.43
Magnus Norman,79.41,clay,35.1,55.55,44.25,84.25,34.69,74.35,57.26
Juan Carlos Ferrero,76.67,clay,33.27,56.18,44.43,79.6,34.78,68.04,54.46
Andrew Ilie,76.47,clay,32.92,51.38,41.33,81.48,28.69,74.71,54.72
Cedric Pioline,76.47,clay,35.95,56.25,42.46,87.78,34.9,75.37,59.18
Agustin Calleri,75.0,clay,34.22,55.12,41.16,80.61,32.71,80.36,50.9
Mariano Puerta,74.51,clay,32.86,52.22,49.91,84.42,31.49,71.73,54.38
Marat Safin,73.53,clay,31.61,48.79,41.16,84.96,23.9,76.76,55.87
Alex Calatrava,73.33,clay,27.76,53.12,44.86,82.22,25.95,75.6,49.48
Alex Corretja,83.87,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustavo Kuerten,82.86,grass,23.36,48.46,25.45,83.11,14.13,79.25,51.3
Magnus Norman,79.41,grass,40.35,49.47,30.09,81.96,33.34,77.5,63.31
Juan Carlos Ferrero,76.67,grass,27.27,50.0,33.33,60.0,27.27,66.67,48.28
Andrew Ilie,76.47,grass,29.39,43.46,57.95,62.4,20.34,69.84,40.88
Cedric Pioline,76.47,grass,20.12,50.95,37.78,85.73,17.07,81.95,49.7
Agustin Calleri,75.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariano Puerta,74.51,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marat Safin,73.53,grass,22.22,49.2,30.89,82.94,18.37,77.08,48.06
Alex Calatrava,73.33,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
