player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Roger Federer,87.27,hard,35.05,50.83,48.15,90.2,30.23,80.59,58.19
Rafael Nadal,81.63,hard,30.22,54.02,46.65,90.01,28.17,77.04,60.98
Novak Djokovic,78.95,hard,33.91,54.89,47.67,83.53,33.36,71.97,54.3
Andy Murray,73.91,hard,32.01,56.96,43.77,83.31,33.96,77.54,55.01
Andy Roddick,73.68,hard,24.37,49.62,37.44,91.57,18.08,80.09,58.07
Robin Soderling,72.22,hard,29.26,53.67,44.19,85.07,27.06,78.22,52.89
Gael Monfils,72.0,hard,30.52,48.57,43.43,82.63,24.01,73.85,52.67
David Nalbandian,71.88,hard,32.45,56.34,47.59,79.52,34.3,74.69,51.24
Mikhail Kukushkin,70.0,hard,27.76,53.17,49.62,74.75,25.16,68.0,57.38
Mikhail Youzhny,69.77,hard,28.83,51.77,44.84,80.75,27.43,72.53,52.38
Roger Federer,87.27,clay,35.66,50.45,39.9,87.46,27.69,75.5,59.8
Rafael Nadal,81.63,clay,40.09,61.22,54.2,92.27,45.09,73.58,58.9
Novak Djokovic,78.95,clay,38.75,55.85,54.27,77.05,40.93,67.73,45.39
Andy Murray,73.91,clay,34.92,50.82,47.49,76.54,29.02,75.36,51.36
Andy Roddick,73.68,clay,33.0,43.74,29.66,76.03,22.88,69.72,41.62
Robin Soderling,72.22,clay,34.52,46.96,45.41,85.84,28.37,76.41,58.14
Gael Monfils,72.0,clay,34.68,53.75,42.62,71.25,29.38,66.48,48.5
David Nalbandian,71.88,clay,38.27,54.21,49.77,77.37,32.75,67.38,52.28
Mikhail Kukushkin,70.0,clay,29.76,53.55,34.32,69.73,24.21,66.27,45.6
Mikhail Youzhny,69.77,clay,34.6,54.98,45.86,80.79,36.19,72.05,44.79
Roger Federer,87.27,grass,27.39,55.51,43.42,92.74,26.16,80.06,55.0
Rafael Nadal,81.63,grass,25.9,56.59,49.03,91.17,27.66,79.15,62.15
Novak Djokovic,78.95,grass,26.82,54.69,39.03,88.16,25.26,76.05,51.92
Andy Murray,73.91,grass,29.87,52.89,43.36,93.69,25.65,84.61,70.42
Andy Roddick,73.68,grass,26.63,50.51,40.68,97.11,23.71,80.02,57.94
Robin Soderling,72.22,grass,28.98,53.52,53.33,91.24,27.54,86.3,59.84
Gael Monfils,72.0,grass,26.66,46.64,32.08,86.07,16.42,78.46,53.41
David Nalbandian,71.88,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikhail Kukushkin,70.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikhail Youzhny,69.77,grass,23.96,54.59,32.55,74.17,24.25,67.89,39.58
