player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Novak Djokovic,100.0,hard,35.76,59.01,49.79,53.38,65.91,74.98,61.68
Andy Murray,92.31,hard,33.81,54.21,48.05,59.57,59.88,74.64,52.75
Roger Federer,91.67,hard,36.38,52.06,45.21,34.02,63.24,81.81,55.2
Nicolas Mahut,85.71,hard,21.5,49.16,38.91,83.86,61.6,69.69,47.01
Kevin Anderson,77.78,hard,24.17,46.73,42.39,29.92,63.32,80.09,56.34
Denis Istomin,75.0,hard,26.42,45.94,40.52,21.01,63.0,71.86,44.55
Richard Gasquet,75.0,hard,30.51,50.95,44.59,36.56,63.86,75.78,59.05
Ivo Karlovic,73.33,hard,22.79,40.91,35.51,18.22,66.05,84.78,62.01
Viktor Troicki,71.43,hard,30.03,47.28,45.74,27.12,61.29,73.92,50.26
Rafael Nadal,71.43,hard,31.06,52.3,41.35,85.1,66.66,73.33,73.94
Novak Djokovic,100.0,clay,33.95,56.3,43.88,28.14,67.85,76.05,60.76
Andy Murray,92.31,clay,36.78,57.18,52.38,50.26,63.47,75.85,55.37
Roger Federer,91.67,clay,32.39,50.6,39.95,15.46,63.54,77.63,58.68
Nicolas Mahut,85.71,clay,30.94,46.53,35.28,40.95,63.24,69.82,42.07
Kevin Anderson,77.78,clay,30.65,48.11,46.78,47.04,63.14,76.21,39.39
Denis Istomin,75.0,clay,30.09,50.01,29.87,36.69,67.01,72.03,59.58
Richard Gasquet,75.0,clay,31.99,50.33,58.99,33.06,63.58,75.95,51.88
Ivo Karlovic,73.33,clay,16.84,45.83,22.22,30.14,67.03,79.53,131.63
Viktor Troicki,71.43,clay,27.3,46.82,33.5,32.68,64.1,68.05,63.13
Rafael Nadal,71.43,clay,39.47,56.58,43.43,57.71,69.64,71.03,53.38
Novak Djokovic,100.0,grass,30.79,52.01,44.02,15.38,70.51,77.14,63.42
Andy Murray,92.31,grass,25.93,59.76,46.45,26.49,66.61,78.6,55.57
Roger Federer,91.67,grass,30.73,47.89,38.41,21.23,68.3,83.49,58.43
Nicolas Mahut,85.71,grass,35.26,51.67,45.2,52.47,64.24,77.34,46.71
Kevin Anderson,77.78,grass,24.8,42.09,43.51,11.35,64.68,85.09,60.52
Denis Istomin,75.0,grass,30.07,55.29,47.22,23.56,60.44,74.97,51.92
Richard Gasquet,75.0,grass,32.71,52.85,46.88,56.7,60.8,79.74,59.42
Ivo Karlovic,73.33,grass,22.15,41.45,28.86,12.38,67.06,86.6,71.29
Viktor Troicki,71.43,grass,25.57,52.48,36.03,21.6,66.34,80.49,63.89
Rafael Nadal,71.43,grass,23.48,52.49,53.64,94.24,67.82,73.51,53.38
