player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Roger Federer,100.0,hard,30.74,51.34,43.42,90.18,26.75,78.75,58.61
Andy Murray,90.91,hard,35.19,58.31,48.72,86.18,37.96,77.64,53.26
Tommy Haas,90.91,hard,26.42,47.87,43.67,84.11,22.38,76.76,52.35
Rajeev Ram,83.33,hard,24.43,41.33,30.09,85.34,11.86,76.04,49.01
Andy Roddick,81.82,hard,29.3,50.43,42.32,90.51,23.94,78.64,56.75
Juan Carlos Ferrero,80.0,hard,24.12,51.2,42.56,75.21,20.72,67.9,51.06
Novak Djokovic,80.0,hard,32.97,54.2,43.62,85.06,31.9,73.05,54.36
Ivo Karlovic,77.78,hard,21.44,43.18,45.28,91.62,12.62,85.25,58.99
Lleyton Hewitt,75.0,hard,29.88,53.73,39.89,78.56,28.08,74.46,61.81
Olivier Rochus,75.0,hard,26.47,55.24,45.04,74.96,26.67,65.66,55.0
Roger Federer,100.0,clay,32.96,50.62,48.18,91.12,26.37,80.01,59.64
Andy Murray,90.91,clay,39.12,52.32,44.11,76.05,35.79,69.37,55.79
Tommy Haas,90.91,clay,33.16,46.95,52.37,81.71,27.37,75.67,49.81
Rajeev Ram,83.33,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Roddick,81.82,clay,28.09,46.67,31.56,86.03,19.74,75.76,53.6
Juan Carlos Ferrero,80.0,clay,35.47,54.31,48.94,74.42,33.78,64.63,54.14
Novak Djokovic,80.0,clay,38.5,57.39,43.72,82.91,40.43,72.61,53.67
Ivo Karlovic,77.78,clay,25.43,43.91,19.47,87.89,11.21,81.53,48.7
Lleyton Hewitt,75.0,clay,37.98,55.92,44.07,77.82,38.53,75.76,56.48
Olivier Rochus,75.0,clay,32.48,48.88,46.67,63.02,26.06,62.65,34.89
Roger Federer,100.0,grass,26.3,50.55,44.71,96.77,21.27,87.53,63.62
Andy Murray,90.91,grass,31.64,55.32,59.11,94.68,28.47,84.84,64.61
Tommy Haas,90.91,grass,26.39,44.53,40.4,93.08,16.77,81.14,52.47
Rajeev Ram,83.33,grass,24.93,49.2,41.98,90.12,23.28,79.01,54.48
Andy Roddick,81.82,grass,19.24,46.3,36.17,95.7,12.16,84.52,57.85
Juan Carlos Ferrero,80.0,grass,22.91,50.42,41.94,87.7,20.87,74.21,54.97
Novak Djokovic,80.0,grass,32.58,52.82,43.59,87.56,29.97,75.93,56.99
Ivo Karlovic,77.78,grass,19.16,43.21,48.1,98.61,9.75,87.62,59.58
Lleyton Hewitt,75.0,grass,35.03,54.21,43.85,91.04,34.31,82.57,54.23
Olivier Rochus,75.0,grass,30.31,51.22,55.1,87.49,29.4,72.68,63.6
