player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Novak Djokovic,91.38,hard,36.64,57.31,46.38,90.53,38.14,76.89,62.98
Rafael Nadal,90.24,hard,32.05,54.84,50.28,88.45,32.25,73.77,59.21
Andy Murray,83.87,hard,34.82,56.05,50.78,84.62,34.71,74.93,51.53
Juan Martin del Potro,78.18,hard,28.68,53.11,42.06,87.75,25.15,75.78,54.79
Milos Raonic,74.0,hard,26.43,44.48,39.7,92.52,16.4,84.96,54.83
Ernests Gulbis,72.73,hard,33.5,52.31,45.73,86.32,30.97,77.61,54.3
Roger Federer,71.79,hard,31.97,52.29,41.0,87.18,27.17,77.93,53.95
Richard Gasquet,70.91,hard,29.66,53.86,40.08,82.41,26.02,74.15,55.69
Tomas Berdych,70.18,hard,31.71,55.22,45.55,87.21,29.61,79.43,56.76
Marin Cilic,70.0,hard,30.45,50.15,43.63,85.61,23.39,77.17,60.16
Novak Djokovic,91.38,clay,37.54,56.11,46.47,84.23,38.9,72.66,57.52
Rafael Nadal,90.24,clay,38.3,55.69,50.11,88.55,41.7,73.99,57.14
Andy Murray,83.87,clay,34.14,46.27,29.5,69.02,22.14,69.03,46.97
Juan Martin del Potro,78.18,clay,28.2,48.26,62.74,78.03,29.08,71.22,43.01
Milos Raonic,74.0,clay,32.3,42.32,45.4,89.07,17.67,76.74,52.92
Ernests Gulbis,72.73,clay,33.17,53.11,46.95,80.55,28.86,76.63,48.8
Roger Federer,71.79,clay,35.61,50.8,47.52,84.62,29.41,74.36,60.33
Richard Gasquet,70.91,clay,32.39,53.11,49.05,80.9,31.36,71.41,55.75
Tomas Berdych,70.18,clay,32.09,49.08,39.92,78.09,28.47,71.9,49.21
Marin Cilic,70.0,clay,31.43,55.43,45.32,80.0,29.41,75.72,63.28
Novak Djokovic,91.38,grass,35.46,51.81,31.09,88.9,27.57,79.09,61.11
Rafael Nadal,90.24,grass,26.39,42.86,28.57,82.35,11.76,65.0,44.68
Andy Murray,83.87,grass,33.09,58.12,41.48,89.31,31.79,77.17,56.17
Juan Martin del Potro,78.18,grass,30.25,56.66,42.6,90.56,26.05,77.25,53.68
Milos Raonic,74.0,grass,23.16,36.81,11.11,83.73,7.14,77.39,44.82
Ernests Gulbis,72.73,grass,23.93,40.34,31.88,85.83,12.18,76.65,45.09
Roger Federer,71.79,grass,39.87,54.84,41.51,95.57,38.46,79.28,64.74
Richard Gasquet,70.91,grass,30.73,51.86,39.7,88.03,23.31,78.92,53.26
Tomas Berdych,70.18,grass,30.02,52.25,36.77,92.35,19.87,80.74,62.6
Marin Cilic,70.0,grass,27.73,46.77,39.01,89.25,20.71,78.1,57.13
