player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Novak Djokovic,100.0,hard,34.6,55.38,51.51,90.14,33.87,78.2,62.8
Roger Federer,91.67,hard,35.42,49.56,43.46,91.65,30.09,79.14,62.45
Matteo Berrettini,85.71,hard,26.26,44.35,39.87,85.62,15.69,76.48,54.9
Rafael Nadal,83.33,hard,31.98,57.39,44.2,93.37,31.72,79.67,61.0
John Isner,83.33,hard,22.68,41.15,30.69,93.72,10.99,81.82,54.68
Sam Querrey,80.0,hard,25.27,47.34,31.92,84.16,16.01,80.09,47.82
Roberto Bautista Agut,77.78,hard,28.46,54.3,43.39,86.84,25.07,73.4,55.58
David Goffin,76.92,hard,30.4,52.3,46.06,77.62,27.34,71.77,54.86
Felix Auger Aliassime,75.0,hard,26.41,48.36,46.59,80.52,19.43,76.3,48.52
Feliciano Lopez,75.0,hard,25.33,39.18,34.12,81.81,12.12,74.85,49.6
Novak Djokovic,100.0,clay,36.36,51.71,60.3,87.01,34.85,75.33,54.09
Roger Federer,91.67,clay,30.23,53.03,48.34,88.78,25.87,75.95,61.78
Matteo Berrettini,85.71,clay,30.49,51.87,39.95,86.21,24.85,78.75,54.84
Rafael Nadal,83.33,clay,41.4,56.69,49.13,87.01,46.38,71.85,59.47
John Isner,83.33,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Querrey,80.0,clay,29.57,43.02,33.63,90.0,16.39,82.03,54.81
Roberto Bautista Agut,77.78,clay,31.32,53.81,44.32,75.33,27.62,69.47,52.2
David Goffin,76.92,clay,38.52,51.37,48.22,71.76,37.39,70.05,45.33
Felix Auger Aliassime,75.0,clay,31.31,46.37,48.42,74.47,21.96,69.45,42.66
Feliciano Lopez,75.0,clay,27.79,44.78,21.43,78.84,6.68,73.71,0.0
Novak Djokovic,100.0,grass,34.64,56.43,49.4,90.97,36.06,78.61,55.88
Roger Federer,91.67,grass,32.19,50.02,50.01,95.33,25.35,81.64,65.66
Matteo Berrettini,85.71,grass,26.72,49.07,37.48,93.23,19.38,83.89,63.08
Rafael Nadal,83.33,grass,33.17,53.5,43.82,94.41,34.1,81.78,62.09
John Isner,83.33,grass,21.94,46.42,55.97,94.44,12.92,78.61,57.87
Sam Querrey,80.0,grass,28.3,47.18,36.34,91.09,18.75,83.78,52.56
Roberto Bautista Agut,77.78,grass,28.63,54.49,40.87,91.8,27.2,77.39,59.86
David Goffin,76.92,grass,32.82,52.7,33.39,83.92,28.64,77.23,57.11
Felix Auger Aliassime,75.0,grass,25.08,44.68,40.16,91.05,16.54,80.23,54.25
Feliciano Lopez,75.0,grass,24.04,44.78,40.98,93.59,15.44,82.26,55.38
