player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Novak Djokovic,100.0,hard,36.99,59.51,51.82,85.6,44.53,73.93,54.64
Andy Murray,90.91,hard,37.76,57.11,50.9,81.38,39.48,76.36,52.79
John Isner,85.71,hard,23.76,42.17,42.82,90.97,15.62,78.2,50.28
Roger Federer,85.71,hard,33.45,54.22,46.82,90.94,32.54,79.61,59.96
Philipp Kohlschreiber,83.33,hard,25.87,48.06,43.14,79.67,18.98,72.3,57.71
Rafael Nadal,80.0,hard,34.05,54.79,49.32,83.73,33.86,73.17,54.88
Andreas Seppi,77.78,hard,26.13,47.1,46.71,75.84,19.63,69.85,55.48
Jo-Wilfried Tsonga,76.92,hard,26.98,49.03,53.32,86.9,21.41,79.93,53.64
Tomas Berdych,75.0,hard,31.45,53.76,46.05,84.1,30.57,79.14,53.99
Dmitry Tursunov,75.0,hard,24.53,46.23,44.08,74.38,17.68,69.8,47.95
Novak Djokovic,100.0,clay,37.6,59.83,49.43,89.18,40.26,75.83,60.48
Andy Murray,90.91,clay,41.99,59.35,45.43,73.36,44.4,71.09,50.2
John Isner,85.71,clay,26.16,40.67,34.34,85.65,10.68,71.2,53.95
Roger Federer,85.71,clay,33.34,47.82,39.05,89.43,26.18,77.75,62.5
Philipp Kohlschreiber,83.33,clay,30.26,54.22,44.26,76.16,28.68,69.39,53.49
Rafael Nadal,80.0,clay,39.99,61.98,52.98,84.44,47.11,72.15,58.73
Andreas Seppi,77.78,clay,31.91,49.33,37.36,69.4,28.0,66.68,49.4
Jo-Wilfried Tsonga,76.92,clay,33.31,47.03,43.23,83.75,27.52,73.76,54.96
Tomas Berdych,75.0,clay,33.77,50.34,41.49,80.72,31.5,71.41,59.3
Dmitry Tursunov,75.0,clay,24.71,54.39,40.0,73.91,17.39,63.44,46.67
Novak Djokovic,100.0,grass,32.64,57.0,50.36,91.45,32.55,78.05,60.6
Andy Murray,90.91,grass,32.42,51.3,42.29,92.09,25.13,79.81,59.41
John Isner,85.71,grass,27.98,45.79,31.11,97.16,14.55,82.24,60.27
Roger Federer,85.71,grass,35.03,47.26,61.43,95.21,26.28,82.96,65.15
Philipp Kohlschreiber,83.33,grass,30.16,47.9,31.25,93.73,17.27,80.37,57.37
Rafael Nadal,80.0,grass,27.56,55.13,46.49,86.65,26.08,74.22,58.04
Andreas Seppi,77.78,grass,27.98,51.67,52.28,81.52,24.56,74.36,49.79
Jo-Wilfried Tsonga,76.92,grass,28.79,46.21,41.43,90.26,23.33,78.45,49.56
Tomas Berdych,75.0,grass,32.25,55.77,34.73,92.93,26.88,80.76,60.99
Dmitry Tursunov,75.0,grass,30.09,49.69,38.28,84.17,21.4,73.66,48.67
