player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Roger Federer,88.0,hard,32.55,54.63,42.56,91.09,29.93,79.02,62.49
Novak Djokovic,78.18,hard,32.65,53.63,44.83,87.28,31.64,75.29,56.3
Andy Roddick,77.55,hard,24.76,48.9,44.95,89.87,20.01,80.57,56.1
Andy Murray,75.0,hard,33.97,53.74,38.95,80.36,32.52,73.78,55.12
James Blake,74.58,hard,28.44,55.12,48.19,85.84,26.63,77.88,58.27
Rafael Nadal,72.73,hard,30.55,50.21,40.83,84.5,27.89,73.13,55.86
David Ferrer,72.55,hard,33.39,55.63,49.5,82.01,34.71,70.22,53.29
Tommy Haas,71.74,hard,30.23,52.2,43.75,85.66,28.11,77.74,54.46
Xavier Malisse,71.43,hard,34.2,53.32,46.96,85.19,35.59,75.0,58.17
Lleyton Hewitt,70.0,hard,29.43,54.65,53.98,83.15,28.57,79.26,57.62
Roger Federer,88.0,clay,39.74,50.58,41.22,83.95,31.57,74.35,58.65
Novak Djokovic,78.18,clay,35.39,54.27,46.89,76.26,33.81,66.99,48.23
Andy Roddick,77.55,clay,23.12,43.34,22.22,83.16,13.71,75.32,64.5
Andy Murray,75.0,clay,44.62,71.5,65.72,56.06,70.84,64.92,60.0
James Blake,74.58,clay,31.71,47.32,38.36,78.53,24.63,69.85,56.5
Rafael Nadal,72.73,clay,41.31,60.46,51.67,88.79,46.48,73.65,57.74
David Ferrer,72.55,clay,40.41,60.98,58.39,76.34,46.62,67.64,53.66
Tommy Haas,71.74,clay,24.24,46.16,27.22,83.13,11.11,80.68,58.8
Xavier Malisse,71.43,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lleyton Hewitt,70.0,clay,33.37,53.58,43.11,83.05,30.78,72.34,55.93
Roger Federer,88.0,grass,34.51,47.67,50.04,94.37,26.02,79.13,61.66
Novak Djokovic,78.18,grass,26.51,53.12,35.11,84.84,20.29,74.84,55.37
Andy Roddick,77.55,grass,24.93,44.87,40.56,95.31,15.8,85.76,59.88
Andy Murray,75.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Blake,74.58,grass,27.07,53.26,59.84,84.27,26.04,75.58,52.69
Rafael Nadal,72.73,grass,29.87,52.56,47.5,91.83,24.0,77.89,63.04
David Ferrer,72.55,grass,25.2,61.58,35.0,82.15,26.64,66.44,39.22
Tommy Haas,71.74,grass,31.08,50.52,53.33,89.14,25.26,79.04,57.08
Xavier Malisse,71.43,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lleyton Hewitt,70.0,grass,32.37,50.34,56.76,89.72,28.74,72.41,62.39
