player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Matteo Berrettini,100.0,hard,25.41,43.61,37.91,86.37,14.62,77.59,48.17
Novak Djokovic,100.0,hard,34.58,42.58,51.67,87.88,23.84,78.17,54.7
Rafael Nadal,83.33,hard,34.47,54.88,50.05,86.01,32.68,75.22,55.81
Tim Van Rijthoven,80.0,hard,22.37,42.11,21.43,86.91,9.78,79.78,67.26
Roberto Bautista Agut,80.0,hard,31.18,55.11,41.97,82.12,30.2,72.47,51.44
Nick Kyrgios,76.47,hard,29.25,49.53,48.31,92.6,24.84,78.6,55.63
Jason Kubler,75.0,hard,28.15,46.7,41.56,82.16,21.53,70.76,44.73
Daniil Medvedev,72.73,hard,35.07,54.22,43.3,87.97,30.88,77.97,58.23
Taylor Fritz,72.73,hard,31.88,53.48,34.61,87.85,28.64,78.45,59.68
Oscar Otte,72.73,hard,28.12,43.28,28.82,75.78,16.42,75.02,54.7
Matteo Berrettini,100.0,clay,32.1,39.13,49.76,88.05,22.22,78.51,49.36
Novak Djokovic,100.0,clay,33.65,56.3,44.53,82.56,30.78,70.86,57.33
Rafael Nadal,83.33,clay,37.83,55.19,46.06,78.66,33.79,68.73,50.9
Tim Van Rijthoven,80.0,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Bautista Agut,80.0,clay,34.5,58.88,45.01,88.21,37.39,71.02,58.81
Nick Kyrgios,76.47,clay,25.66,42.67,51.89,87.78,18.9,79.65,42.73
Jason Kubler,75.0,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniil Medvedev,72.73,clay,25.71,38.71,50.0,70.0,10.0,72.97,32.26
Taylor Fritz,72.73,clay,30.41,55.28,47.66,76.52,29.65,69.12,56.97
Oscar Otte,72.73,clay,33.52,52.37,45.04,80.96,35.58,74.7,52.5
Matteo Berrettini,100.0,grass,32.62,47.8,30.97,92.84,23.0,80.62,55.44
Novak Djokovic,100.0,grass,32.04,57.74,41.76,91.04,31.15,82.74,57.59
Rafael Nadal,83.33,grass,35.13,53.15,47.66,83.87,31.96,72.66,56.24
Tim Van Rijthoven,80.0,grass,28.4,44.67,44.18,87.02,20.48,80.92,58.41
Roberto Bautista Agut,80.0,grass,34.68,62.43,40.38,89.18,36.57,76.41,60.2
Nick Kyrgios,76.47,grass,24.39,46.07,36.72,95.47,16.18,80.69,59.64
Jason Kubler,75.0,grass,23.08,51.64,44.95,84.34,20.3,71.6,53.91
Daniil Medvedev,72.73,grass,28.14,50.85,48.37,82.41,21.02,73.03,47.21
Taylor Fritz,72.73,grass,25.83,57.44,46.39,89.61,23.82,80.98,57.78
Oscar Otte,72.73,grass,24.69,46.56,46.14,89.92,17.69,82.56,52.57
