player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Andy Murray,89.29,hard,35.33,58.05,50.31,61.15,57.78,77.31,55.15
Novak Djokovic,88.89,hard,34.05,59.61,49.99,89.91,63.84,76.18,60.7
Roger Federer,80.0,hard,34.01,55.98,42.07,27.12,61.11,81.23,56.38
Juan Martin del Potro,77.42,hard,29.69,50.65,45.07,51.66,63.05,77.55,54.04
Nick Kyrgios,75.0,hard,26.47,52.37,45.17,33.87,63.93,77.73,52.63
Stan Wawrinka,73.33,hard,28.47,50.19,40.05,50.71,58.42,74.86,57.57
Gael Monfils,72.55,hard,32.6,50.52,48.12,42.88,63.02,76.92,54.23
Kei Nishikori,71.93,hard,30.31,54.15,45.95,67.87,58.64,72.88,52.48
Milos Raonic,71.11,hard,28.88,50.25,41.49,31.12,63.02,82.35,58.99
Roberto Bautista Agut,70.91,hard,32.0,53.2,45.32,76.77,64.9,71.48,52.87
Andy Murray,89.29,clay,35.24,54.63,45.49,41.59,60.06,75.62,58.8
Novak Djokovic,88.89,clay,37.21,53.16,48.07,86.26,67.75,71.46,57.21
Roger Federer,80.0,clay,33.8,45.49,49.76,107.0,60.91,73.06,63.55
Juan Martin del Potro,77.42,clay,30.89,48.49,20.0,47.0,67.3,71.14,42.58
Nick Kyrgios,75.0,clay,26.52,48.42,39.83,15.94,69.11,75.37,57.49
Stan Wawrinka,73.33,clay,32.46,54.09,45.38,45.65,57.75,76.5,68.9
Gael Monfils,72.55,clay,35.73,60.87,66.09,54.89,70.63,70.69,56.2
Kei Nishikori,71.93,clay,35.84,53.21,51.16,68.82,65.3,71.12,56.58
Milos Raonic,71.11,clay,31.29,44.9,34.99,31.0,62.33,74.95,55.39
Roberto Bautista Agut,70.91,clay,32.89,54.04,40.15,54.89,68.22,65.6,47.52
Andy Murray,89.29,grass,33.48,57.62,42.82,13.87,65.13,80.12,53.8
Novak Djokovic,88.89,grass,26.5,57.77,36.84,58.73,65.55,75.37,55.74
Roger Federer,80.0,grass,28.83,48.96,33.65,16.3,63.84,82.16,58.64
Juan Martin del Potro,77.42,grass,25.86,51.99,25.7,31.82,67.3,79.93,70.49
Nick Kyrgios,75.0,grass,24.69,45.05,33.17,17.88,73.18,71.58,47.76
Stan Wawrinka,73.33,grass,26.68,51.77,33.89,50.0,57.77,74.54,83.64
Gael Monfils,72.55,grass,17.58,53.19,11.11,36.84,65.47,64.84,41.67
Kei Nishikori,71.93,grass,28.38,53.3,61.73,93.73,67.57,67.2,47.65
Milos Raonic,71.11,grass,23.47,51.44,43.12,16.58,69.06,82.57,59.24
Roberto Bautista Agut,70.91,grass,20.89,55.86,29.33,31.2,64.91,68.51,64.88
