player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Rafael Nadal,87.5,hard,32.93,55.38,47.97,82.58,33.84,72.01,53.26
Roger Federer,82.98,hard,33.12,48.47,46.93,90.64,26.96,80.22,59.65
Novak Djokovic,81.58,hard,33.22,55.02,42.93,89.28,29.92,75.4,60.02
Juan Martin del Potro,80.43,hard,32.37,53.02,45.96,88.39,28.51,77.7,53.92
Alexander Zverev,74.0,hard,31.31,50.96,48.85,84.75,26.33,77.11,54.45
Kevin Anderson,72.55,hard,26.18,44.31,35.91,89.36,17.25,80.26,56.17
Daniil Medvedev,72.55,hard,28.69,52.54,42.29,83.13,26.04,76.09,53.28
Karen Khachanov,68.75,hard,29.28,52.95,49.56,87.91,25.66,78.19,54.53
Dominic Thiem,67.65,hard,30.06,49.26,37.37,85.86,22.52,77.58,56.02
Fabio Fognini,66.67,hard,32.22,53.28,50.52,76.84,30.01,70.12,53.88
Rafael Nadal,87.5,clay,41.25,59.94,51.47,88.83,48.65,73.32,62.63
Roger Federer,82.98,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novak Djokovic,81.58,clay,38.39,53.51,52.73,82.28,34.95,70.4,51.4
Juan Martin del Potro,80.43,clay,30.92,55.51,38.95,83.44,26.89,72.49,52.88
Alexander Zverev,74.0,clay,37.3,52.88,46.19,80.58,34.56,71.81,58.31
Kevin Anderson,72.55,clay,30.86,41.73,32.32,81.71,19.25,75.46,51.56
Daniil Medvedev,72.55,clay,26.72,44.65,32.12,63.02,17.6,61.46,53.05
Karen Khachanov,68.75,clay,30.59,51.81,40.32,81.35,25.45,71.67,53.9
Dominic Thiem,67.65,clay,33.85,53.68,43.68,83.86,30.71,74.14,55.48
Fabio Fognini,66.67,clay,32.39,53.72,46.86,76.18,31.63,66.57,49.11
Rafael Nadal,87.5,grass,34.43,51.98,43.64,91.9,31.31,73.14,62.23
Roger Federer,82.98,grass,31.42,49.8,43.28,94.35,21.56,85.1,65.6
Novak Djokovic,81.58,grass,34.92,56.86,41.4,93.61,35.57,82.66,55.0
Juan Martin del Potro,80.43,grass,28.31,54.13,35.11,89.51,26.11,82.49,56.29
Alexander Zverev,74.0,grass,27.38,50.18,32.75,81.54,22.52,75.62,48.06
Kevin Anderson,72.55,grass,27.0,44.33,37.89,91.64,13.12,80.8,61.36
Daniil Medvedev,72.55,grass,25.6,50.82,49.96,82.94,20.96,75.79,57.21
Karen Khachanov,68.75,grass,26.27,49.21,41.31,83.76,20.92,74.16,54.35
Dominic Thiem,67.65,grass,18.9,40.62,30.0,78.33,10.0,78.68,36.53
Fabio Fognini,66.67,grass,33.23,55.84,33.49,86.88,28.25,76.14,52.98
