player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Roger Federer,92.16,hard,35.09,51.81,41.68,92.35,30.71,78.48,58.44
Andy Roddick,83.82,hard,29.55,51.11,44.11,91.99,25.49,82.29,55.0
Lleyton Hewitt,83.33,hard,34.11,55.67,46.95,87.21,35.48,79.04,57.5
Andre Agassi,78.72,hard,29.7,55.56,45.3,89.1,29.78,76.4,57.35
Dominik Hrbaty,72.09,hard,30.68,53.97,45.72,83.0,28.92,70.87,54.02
Guillermo Canas,70.37,hard,31.56,52.62,46.47,84.5,29.42,76.54,52.58
Carlos Moya,69.7,hard,29.13,49.23,42.61,85.41,22.54,77.67,58.66
Nicolas Kiefer,69.57,hard,29.84,50.73,41.81,81.75,25.11,78.48,51.6
Marat Safin,69.23,hard,27.78,48.89,40.26,90.68,20.75,80.57,58.37
Ricardo Mello,68.75,hard,28.81,55.91,38.31,76.28,24.15,66.31,54.45
Roger Federer,92.16,clay,35.26,51.29,43.85,89.49,32.47,79.38,60.23
Andy Roddick,83.82,clay,26.58,52.76,36.46,86.39,21.16,73.09,70.52
Lleyton Hewitt,83.33,clay,34.98,50.53,50.76,70.24,32.1,67.22,49.91
Andre Agassi,78.72,clay,26.04,51.0,41.66,70.0,13.12,68.75,53.34
Dominik Hrbaty,72.09,clay,31.35,52.25,48.0,77.35,29.57,71.31,46.26
Guillermo Canas,70.37,clay,38.62,51.91,49.8,75.63,36.08,70.78,60.2
Carlos Moya,69.7,clay,33.25,50.08,42.85,85.43,27.65,76.06,56.36
Nicolas Kiefer,69.57,clay,33.5,55.06,35.81,66.58,31.07,72.98,48.27
Marat Safin,69.23,clay,33.79,51.01,41.31,78.88,28.41,73.12,52.96
Ricardo Mello,68.75,clay,15.56,48.08,50.0,62.74,8.34,66.67,40.18
Roger Federer,92.16,grass,37.31,55.57,47.08,95.46,39.4,79.08,64.35
Andy Roddick,83.82,grass,30.78,49.31,36.38,91.88,20.94,81.38,58.28
Lleyton Hewitt,83.33,grass,32.12,50.82,45.99,88.69,25.3,81.64,58.0
Andre Agassi,78.72,grass,18.33,48.0,25.0,100.0,5.88,82.14,71.43
Dominik Hrbaty,72.09,grass,27.74,56.45,34.03,84.69,21.72,72.29,57.05
Guillermo Canas,70.37,grass,30.76,45.03,30.68,90.12,16.74,75.08,50.12
Carlos Moya,69.7,grass,25.73,49.6,46.1,91.57,20.24,79.5,59.59
Nicolas Kiefer,69.57,grass,25.48,42.73,44.44,84.86,16.15,79.8,43.21
Marat Safin,69.23,grass,24.08,42.19,20.78,81.1,9.94,67.93,50.38
Ricardo Mello,68.75,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
