player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Novak Djokovic,90.91,hard,35.08,58.55,51.81,90.53,37.89,76.8,57.89
Roger Federer,84.62,hard,31.51,51.18,47.83,93.03,27.56,79.86,61.98
Rafael Nadal,80.95,hard,37.66,52.77,48.35,88.75,35.42,75.74,56.1
David Ferrer,80.49,hard,33.11,54.11,48.96,82.27,31.91,71.55,54.63
Andy Murray,77.55,hard,32.98,56.68,44.88,84.39,34.31,74.58,55.22
Juan Martin del Potro,76.92,hard,29.09,53.02,41.99,88.1,26.49,76.7,54.97
Milos Raonic,73.91,hard,26.61,45.75,49.54,93.11,18.78,82.93,56.31
Tomas Berdych,73.21,hard,29.89,53.92,40.75,86.73,27.91,79.02,55.17
Jo-Wilfried Tsonga,70.37,hard,32.21,48.2,47.59,86.68,25.23,77.78,54.04
Gael Monfils,69.57,hard,31.77,52.17,44.39,79.52,29.74,74.12,46.36
Novak Djokovic,90.91,clay,36.09,54.16,46.09,80.63,33.95,72.03,54.76
Roger Federer,84.62,clay,30.11,53.64,49.0,88.53,29.31,77.06,62.69
Rafael Nadal,80.95,clay,43.06,59.77,53.81,90.87,48.88,76.49,59.56
David Ferrer,80.49,clay,38.51,54.08,45.53,87.64,36.07,75.41,55.55
Andy Murray,77.55,clay,36.22,56.36,45.36,81.38,34.23,75.46,54.24
Juan Martin del Potro,76.92,clay,37.45,50.84,48.57,86.22,33.25,73.8,56.22
Milos Raonic,73.91,clay,28.78,46.83,36.93,93.12,18.35,81.2,68.17
Tomas Berdych,73.21,clay,36.12,51.45,58.88,87.54,33.23,76.61,57.22
Jo-Wilfried Tsonga,70.37,clay,34.4,49.72,45.47,78.83,29.5,69.59,50.09
Gael Monfils,69.57,clay,29.89,46.3,65.14,70.72,27.67,64.66,51.14
Novak Djokovic,90.91,grass,35.8,52.75,53.3,91.62,33.17,78.79,55.58
Roger Federer,84.62,grass,31.37,53.09,39.49,90.89,28.59,77.37,56.68
Rafael Nadal,80.95,grass,26.64,52.6,47.92,82.94,24.82,75.82,54.7
David Ferrer,80.49,grass,31.12,58.65,52.03,91.2,32.1,77.09,67.38
Andy Murray,77.55,grass,31.56,55.95,41.82,93.0,27.74,78.08,61.83
Juan Martin del Potro,76.92,grass,29.19,47.91,47.27,86.43,23.47,73.16,53.82
Milos Raonic,73.91,grass,24.97,44.42,42.26,93.26,15.85,83.93,60.33
Tomas Berdych,73.21,grass,20.92,48.32,50.54,87.98,16.67,79.44,56.52
Jo-Wilfried Tsonga,70.37,grass,26.05,43.61,40.31,92.79,16.82,78.7,60.91
Gael Monfils,69.57,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
