player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Novak Djokovic,94.12,35.76,59.01,49.79,53.38,65.91,74.98,61.68,33.95,56.3,43.88,28.14,67.85,76.05,60.76,30.79,52.01,44.02,15.38,70.51,77.14,63.42
Andy Murray,89.47,33.81,54.21,48.05,59.57,59.88,74.64,52.75,36.78,57.18,52.38,50.26,63.47,75.85,55.37,25.93,59.76,46.45,26.49,66.61,78.6,55.57
Kei Nishikori,84.21,29.64,52.5,43.18,66.94,59.35,75.49,55.73,34.96,55.73,49.68,100.28,59.29,74.53,52.44,23.86,53.04,40.61,28.43,62.5,68.33,53.32
Rafael Nadal,81.25,31.06,52.3,41.35,85.1,66.66,73.33,73.94,39.47,56.58,43.43,57.71,69.64,71.03,53.38,23.48,52.49,53.64,94.24,67.82,73.51,53.38
David Ferrer,79.17,33.72,54.75,49.66,138.07,62.85,70.21,57.1,38.44,57.5,45.74,146.38,61.93,70.55,62.94,18.42,35.48,0.0,250.0,53.73,83.33,48.28
Richard Gasquet,76.92,30.51,50.95,44.59,36.56,63.86,75.78,59.05,31.99,50.33,58.99,33.06,63.58,75.95,51.88,32.71,52.85,46.88,56.7,60.8,79.74,59.42
Stan Wawrinka,76.47,26.88,48.81,40.92,41.59,56.24,75.28,59.39,31.83,52.2,37.3,48.71,55.36,77.03,65.1,25.86,46.06,39.03,24.8,59.12,84.07,58.76
Roger Federer,76.47,36.38,52.06,45.21,34.02,63.24,81.81,55.2,32.39,50.6,39.95,15.46,63.54,77.63,58.68,30.73,47.89,38.41,21.23,68.3,83.49,58.43
Tomas Berdych,75.0,31.25,56.48,51.58,37.67,56.31,77.65,57.36,31.83,47.87,46.55,81.16,55.45,77.54,61.02,27.25,57.77,28.89,24.16,61.76,82.3,67.12
Jack Sock,73.33,27.58,47.65,47.55,106.73,58.3,75.53,55.9,31.15,44.0,52.53,155.48,54.25,76.17,59.51,21.15,37.59,31.25,106.67,62.8,78.56,58.96
