player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Gustavo Kuerten,92.31,hard,24.83,50.0,36.23,85.92,20.8,78.53,57.5
Andy Roddick,92.31,hard,26.01,52.0,38.52,87.72,23.33,79.52,55.81
Juan Carlos Ferrero,87.18,hard,27.52,53.51,39.66,82.88,23.24,73.94,55.68
Jiri Novak,78.95,hard,29.62,52.75,38.04,74.8,25.69,68.15,51.09
Alex Corretja,75.76,hard,28.25,45.95,39.45,75.1,18.3,74.1,55.71
Andrea Gaudenzi,73.68,hard,27.58,49.95,30.73,63.79,17.99,67.43,51.21
Lleyton Hewitt,73.68,hard,32.53,56.7,48.09,84.65,36.27,76.51,58.34
Guillermo Canas,72.0,hard,33.75,52.79,44.9,79.32,32.3,71.52,51.99
Tommy Robredo,71.88,hard,28.05,50.37,40.76,80.84,25.29,72.7,50.69
Sebastien Grosjean,70.37,hard,30.89,52.14,50.41,77.76,29.58,73.62,53.77
Gustavo Kuerten,92.31,clay,35.13,55.07,47.56,90.45,36.9,77.93,57.87
Andy Roddick,92.31,clay,31.57,51.96,36.76,94.6,29.18,81.94,64.42
Juan Carlos Ferrero,87.18,clay,37.7,58.85,45.29,83.03,43.68,71.67,55.19
Jiri Novak,78.95,clay,34.44,51.81,45.12,85.67,32.12,73.37,54.81
Alex Corretja,75.76,clay,33.81,53.6,46.36,76.83,32.16,69.76,57.09
Andrea Gaudenzi,73.68,clay,32.47,51.17,49.11,76.73,30.24,71.24,55.15
Lleyton Hewitt,73.68,clay,40.4,53.38,49.35,72.56,41.83,68.74,51.59
Guillermo Canas,72.0,clay,36.42,57.19,42.67,78.18,37.73,71.55,56.28
Tommy Robredo,71.88,clay,34.91,53.72,46.89,77.98,36.05,68.59,46.99
Sebastien Grosjean,70.37,clay,33.41,54.51,38.22,78.03,32.51,69.71,53.14
Gustavo Kuerten,92.31,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Roddick,92.31,grass,20.31,47.38,29.53,93.98,10.86,79.78,51.8
Juan Carlos Ferrero,87.18,grass,30.81,57.19,51.1,77.98,34.62,69.71,44.77
Jiri Novak,78.95,grass,32.9,56.34,68.75,84.16,33.08,74.8,60.85
Alex Corretja,75.76,grass,15.0,25.0,0.0,28.57,0.0,42.31,32.14
Andrea Gaudenzi,73.68,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lleyton Hewitt,73.68,grass,34.72,55.62,44.56,88.71,34.47,74.56,61.7
Guillermo Canas,72.0,grass,29.77,52.63,43.85,78.92,28.2,74.04,50.47
Tommy Robredo,71.88,grass,28.3,46.12,63.61,80.64,25.66,76.8,53.53
Sebastien Grosjean,70.37,grass,34.92,48.0,33.93,83.8,24.52,75.75,63.9
