player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Novak Djokovic,100.0,hard,34.56,58.53,50.17,89.0,37.12,76.66,55.48
Roger Federer,90.91,hard,32.58,52.76,43.38,91.47,29.9,80.28,58.27
Grigor Dimitrov,90.91,hard,29.09,49.92,47.42,83.95,24.26,76.3,52.6
Roberto Bautista Agut,87.5,hard,31.01,51.44,40.04,83.17,25.8,70.88,54.3
Feliciano Lopez,85.71,hard,25.86,43.45,38.17,82.16,15.53,76.42,54.28
Nick Kyrgios,85.71,hard,24.36,43.85,49.97,79.83,13.73,76.12,47.16
Lleyton Hewitt,80.0,hard,29.8,52.25,43.65,73.36,28.11,71.95,49.71
Stan Wawrinka,77.78,hard,30.86,52.44,44.16,84.38,26.5,78.81,54.06
Milos Raonic,71.43,hard,25.53,45.94,43.07,89.65,16.59,82.96,58.27
Kei Nishikori,71.43,hard,30.1,54.08,41.49,82.69,28.68,73.9,53.59
Novak Djokovic,100.0,clay,37.37,59.8,45.47,83.87,42.11,71.74,60.36
Roger Federer,90.91,clay,35.31,49.16,55.6,90.56,29.26,79.14,51.2
Grigor Dimitrov,90.91,clay,33.91,47.6,42.06,86.16,25.62,77.68,58.14
Roberto Bautista Agut,87.5,clay,32.97,53.25,58.68,78.77,31.88,68.55,48.05
Feliciano Lopez,85.71,clay,25.54,40.88,33.9,78.9,13.95,71.91,47.24
Nick Kyrgios,85.71,clay,9.52,61.36,25.0,71.43,12.5,65.38,73.33
Lleyton Hewitt,80.0,clay,29.55,58.11,38.38,58.05,21.98,66.94,53.56
Stan Wawrinka,77.78,clay,28.79,55.51,52.47,85.43,30.52,75.32,63.46
Milos Raonic,71.43,clay,31.46,41.27,47.11,89.5,21.45,80.8,52.1
Kei Nishikori,71.43,clay,35.9,55.48,48.23,82.88,39.03,70.77,56.25
Novak Djokovic,100.0,grass,29.36,53.39,36.33,92.07,26.74,76.71,59.34
Roger Federer,90.91,grass,30.73,48.62,51.84,95.5,25.06,80.8,63.58
Grigor Dimitrov,90.91,grass,29.38,55.51,43.75,94.68,23.81,82.78,57.81
Roberto Bautista Agut,87.5,grass,32.25,54.3,54.13,78.83,29.08,68.69,51.52
Feliciano Lopez,85.71,grass,22.47,50.32,32.31,96.17,13.27,83.77,58.05
Nick Kyrgios,85.71,grass,24.78,41.48,53.1,90.21,13.2,75.89,47.8
Lleyton Hewitt,80.0,grass,31.89,52.6,48.38,87.17,31.43,75.6,59.74
Stan Wawrinka,77.78,grass,27.08,44.0,43.12,93.12,18.02,81.89,64.02
Milos Raonic,71.43,grass,25.73,44.32,34.44,92.89,14.03,84.55,62.69
Kei Nishikori,71.43,grass,26.41,47.64,40.0,90.23,21.1,74.54,61.61
