player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Serena Williams,90.0,hard,38.16,61.96,52.24,0,0,81.22,52.8
Kim Clijsters,81.82,hard,42.79,61.63,51.57,0,0,68.12,46.42
Caroline Wozniacki,79.63,hard,43.74,61.25,54.28,0,0,65.9,52.34
Petra Kvitova,77.5,hard,38.47,53.2,42.01,0,0,68.08,52.18
Andrea Petkovic,76.74,hard,41.75,59.1,47.91,0,0,63.53,48.49
Agnieszka Radwanska,75.0,hard,41.93,61.66,54.58,0,0,63.25,47.22
Victoria Azarenka,74.0,hard,42.04,60.29,49.92,0,0,63.65,45.58
Vera Zvonareva,73.33,hard,39.87,59.36,53.97,0,0,70.0,44.96
Maria Sharapova,69.44,hard,43.56,58.87,60.31,0,0,64.88,40.62
Marion Bartoli,68.42,hard,44.26,60.39,51.65,0,0,69.41,49.83
Serena Williams,90.0,clay,0.0,0.0,0.0,0,0,0.0,0.0
Kim Clijsters,81.82,clay,42.51,68.72,41.98,0,0,65.74,29.88
Caroline Wozniacki,79.63,clay,44.6,60.37,51.06,0,0,64.51,48.45
Petra Kvitova,77.5,clay,41.27,60.36,58.87,0,0,67.46,52.0
Andrea Petkovic,76.74,clay,39.15,64.29,57.43,0,0,58.56,42.6
Agnieszka Radwanska,75.0,clay,41.48,57.7,52.9,0,0,68.36,51.05
Victoria Azarenka,74.0,clay,47.17,64.23,54.18,0,0,70.98,47.62
Vera Zvonareva,73.33,clay,37.19,54.2,39.83,0,0,72.44,46.3
Maria Sharapova,69.44,clay,43.09,62.65,57.12,0,0,66.44,45.06
Marion Bartoli,68.42,clay,42.64,56.81,53.98,0,0,64.09,50.51
Serena Williams,90.0,grass,35.47,50.38,46.35,0,0,73.99,56.31
Kim Clijsters,81.82,grass,32.28,67.26,31.25,0,0,62.18,62.86
Caroline Wozniacki,79.63,grass,44.53,56.28,49.05,0,0,69.88,50.62
Petra Kvitova,77.5,grass,42.13,55.28,61.26,0,0,74.51,56.02
Andrea Petkovic,76.74,grass,35.47,46.54,50.1,0,0,67.36,45.72
Agnieszka Radwanska,75.0,grass,42.12,58.41,55.53,0,0,69.46,67.99
Victoria Azarenka,74.0,grass,34.52,57.38,35.78,0,0,68.46,51.25
Vera Zvonareva,73.33,grass,37.2,53.53,38.49,0,0,64.76,50.29
Maria Sharapova,69.44,grass,42.27,66.54,53.43,0,0,71.48,44.31
Marion Bartoli,68.42,grass,38.06,58.17,58.84,0,0,74.3,48.61
