player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Justine Henin,95.45,hard,53.45,61.26,59.69,193.0,51.19,70.45,52.61
Kim Clijsters,89.47,hard,40.76,59.35,51.82,129.71,68.03,72.27,50.15
Amelie Mauresmo,86.36,hard,40.91,55.07,37.46,80.67,60.68,73.89,53.99
Serena Williams,80.0,hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vera Zvonareva,78.57,hard,35.8,50.55,56.11,165.0,62.1,75.55,35.5
Lindsay Davenport,76.92,hard,45.49,61.86,52.27,100.83,57.89,71.36,56.12
Amanda Coetzer,75.0,hard,35.61,54.32,32.84,267.0,61.18,62.25,45.36
Jennifer Capriati,73.33,hard,51.41,60.01,54.23,195.55,59.58,70.16,42.6
Chanda Rubin,72.73,hard,36.17,53.85,50.0,300.0,53.45,45.16,136.36
Nathalie Dechy,71.43,hard,43.9,64.71,80.0,6.0,60.24,54.0,45.45
Justine Henin,95.45,clay,50.27,58.42,61.16,163.0,51.44,71.14,51.54
Kim Clijsters,89.47,clay,47.97,63.04,48.13,73.95,60.5,65.86,47.78
Amelie Mauresmo,86.36,clay,38.76,60.89,46.75,76.5,63.97,74.87,46.48
Serena Williams,80.0,clay,53.84,62.68,63.99,116.11,56.97,70.92,53.57
Vera Zvonareva,78.57,clay,41.65,67.96,49.0,130.4,63.59,58.05,49.65
Lindsay Davenport,76.92,clay,47.5,61.12,68.82,313.75,51.4,70.82,41.94
Amanda Coetzer,75.0,clay,43.4,42.31,62.5,100.0,79.27,53.85,17.24
Jennifer Capriati,73.33,clay,47.58,72.66,53.69,225.0,48.5,63.63,53.28
Chanda Rubin,72.73,clay,43.35,54.28,45.18,134.53,59.9,56.7,49.72
Nathalie Dechy,71.43,clay,44.7,68.77,40.76,316.67,67.73,60.13,60.37
Justine Henin,95.45,grass,36.44,56.37,46.31,114.58,58.15,77.73,54.98
Kim Clijsters,89.47,grass,47.07,66.63,74.96,18.2,71.55,74.66,45.06
Amelie Mauresmo,86.36,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serena Williams,80.0,grass,39.58,57.59,54.32,30.27,65.82,76.74,51.54
Vera Zvonareva,78.57,grass,32.12,58.3,48.21,104.67,63.62,70.34,53.45
Lindsay Davenport,76.92,grass,37.19,57.27,60.83,,69.45,73.97,48.47
Amanda Coetzer,75.0,grass,38.33,42.5,44.44,3.0,72.55,60.81,33.33
Jennifer Capriati,73.33,grass,37.07,60.46,51.54,168.33,63.16,77.97,66.17
Chanda Rubin,72.73,grass,42.24,67.18,52.22,90.74,63.29,68.89,87.37
Nathalie Dechy,71.43,grass,40.11,57.93,38.22,238.89,61.46,68.79,47.12
