player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Victoria Azarenka,88.68,hard,47.54,65.36,59.21,0,0,67.68,48.81
Serena Williams,87.5,hard,44.08,61.07,52.77,0,0,77.65,52.66
Maria Sharapova,82.5,hard,43.66,60.36,50.75,0,0,66.39,47.72
Venus Williams,82.35,hard,41.8,57.56,51.23,0,0,70.85,47.72
Agnieszka Radwanska,77.59,hard,42.47,59.28,56.91,0,0,65.37,46.82
Na Li,76.74,hard,42.37,60.05,51.91,0,0,64.51,51.69
Caroline Wozniacki,75.0,hard,41.57,59.77,53.64,0,0,64.36,51.6
Petra Kvitova,74.36,hard,39.4,60.75,49.28,0,0,69.34,55.92
Kim Clijsters,73.33,hard,38.39,61.16,46.15,0,0,70.67,46.72
Angelique Kerber,69.57,hard,39.52,56.18,54.85,0,0,64.23,48.9
Victoria Azarenka,88.68,clay,35.16,58.99,39.47,0,0,70.71,41.81
Serena Williams,87.5,clay,43.79,61.8,55.45,0,0,80.22,58.46
Maria Sharapova,82.5,clay,42.39,61.67,50.53,0,0,72.83,48.41
Venus Williams,82.35,clay,37.18,58.34,49.89,0,0,67.23,54.44
Agnieszka Radwanska,77.59,clay,44.88,59.27,51.57,0,0,68.3,49.64
Na Li,76.74,clay,38.91,53.62,45.97,0,0,68.33,55.1
Caroline Wozniacki,75.0,clay,36.71,53.93,54.73,0,0,59.84,42.46
Petra Kvitova,74.36,clay,39.59,58.15,50.64,0,0,69.13,53.66
Kim Clijsters,73.33,clay,0.0,0.0,0.0,0,0,0.0,0.0
Angelique Kerber,69.57,clay,39.17,61.59,45.48,0,0,66.88,49.87
Victoria Azarenka,88.68,grass,38.94,61.04,55.5,0,0,70.84,50.81
Serena Williams,87.5,grass,42.33,53.43,53.48,0,0,80.75,66.86
Maria Sharapova,82.5,grass,38.33,53.12,56.57,0,0,69.31,51.94
Venus Williams,82.35,grass,43.46,58.44,56.25,0,0,68.9,60.37
Agnieszka Radwanska,77.59,grass,31.31,59.24,59.87,0,0,69.6,41.47
Na Li,76.74,grass,40.07,48.73,61.11,0,0,57.7,55.18
Caroline Wozniacki,75.0,grass,34.67,37.94,40.25,0,0,65.03,59.63
Petra Kvitova,74.36,grass,35.97,50.0,47.09,0,0,72.84,45.25
Kim Clijsters,73.33,grass,39.2,51.18,44.37,0,0,73.55,51.34
Angelique Kerber,69.57,grass,42.26,60.19,57.11,0,0,68.52,58.8
