player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Maria Sharapova,90.0,hard,42.37,62.0,55.47,0,0,70.15,48.81
Justine Henin,87.5,hard,48.42,58.51,49.96,0,0,71.51,60.04
Svetlana Kuznetsova,77.55,hard,37.78,56.32,48.18,0,0,67.22,53.29
Kim Clijsters,76.47,hard,42.63,57.03,48.86,0,0,68.09,47.13
Amelie Mauresmo,76.19,hard,40.81,57.52,52.13,0,0,67.89,46.3
Serena Williams,75.0,hard,37.75,60.93,58.15,0,0,74.16,48.56
Lindsay Davenport,72.41,hard,39.52,59.31,47.34,0,0,67.93,55.14
Martina Hingis,70.21,hard,41.61,58.26,51.89,0,0,61.82,50.92
Aravane Rezai,70.0,hard,45.48,62.08,60.72,0,0,60.25,42.16
Marion Bartoli,68.52,hard,39.18,55.31,50.51,0,0,59.38,45.96
Maria Sharapova,90.0,clay,39.85,61.92,48.51,0,0,68.45,41.35
Justine Henin,87.5,clay,46.65,62.52,58.22,0,0,71.89,56.82
Svetlana Kuznetsova,77.55,clay,43.41,58.88,52.97,0,0,66.28,49.97
Kim Clijsters,76.47,clay,43.33,54.66,42.55,0,0,64.18,48.36
Amelie Mauresmo,76.19,clay,41.36,50.38,58.22,0,0,62.72,40.46
Serena Williams,75.0,clay,0.0,0.0,0.0,0,0,0.0,0.0
Lindsay Davenport,72.41,clay,0.0,0.0,0.0,0,0,0.0,0.0
Martina Hingis,70.21,clay,47.13,57.93,53.09,0,0,64.55,53.21
Aravane Rezai,70.0,clay,36.02,52.61,53.7,0,0,69.38,41.43
Marion Bartoli,68.52,clay,39.55,59.98,45.13,0,0,63.03,44.1
Maria Sharapova,90.0,grass,42.33,60.46,54.05,0,0,72.69,57.14
Justine Henin,87.5,grass,50.48,64.29,61.52,0,0,70.7,52.57
Svetlana Kuznetsova,77.55,grass,37.68,54.66,48.32,0,0,67.37,43.48
Kim Clijsters,76.47,grass,47.21,59.34,56.74,0,0,70.99,44.46
Amelie Mauresmo,76.19,grass,38.55,57.76,59.88,0,0,74.83,62.36
Serena Williams,75.0,grass,0.0,0.0,0.0,0,0,0.0,0.0
Lindsay Davenport,72.41,grass,0.0,0.0,0.0,0,0,0.0,0.0
Martina Hingis,70.21,grass,38.22,62.24,49.05,0,0,71.73,65.28
Aravane Rezai,70.0,grass,0.0,0.0,0.0,0,0,0.0,0.0
Marion Bartoli,68.52,grass,40.0,47.7,45.06,0,0,68.93,38.73
