player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Ashleigh Barty,84.62,hard,43.03,54.73,49.96,77.58,43.37,76.19,51.9
Serena Williams,80.0,hard,39.94,58.34,45.8,72.71,42.34,76.92,51.0
Clara Tauson,80.0,hard,37.66,60.54,47.98,75.15,43.96,70.46,52.72
Naomi Osaka,78.26,hard,35.53,57.48,55.32,78.01,37.01,76.85,53.94
Garbine Muguruza,76.0,hard,39.57,57.15,46.58,71.34,40.7,68.72,48.47
Anett Kontaveit,75.47,hard,39.88,56.02,53.6,76.32,41.74,70.22,49.55
Danielle Collins,71.79,hard,36.66,58.09,54.56,75.04,40.37,71.42,50.39
Daria Kasatkina,71.05,hard,41.05,55.3,48.21,62.22,41.63,65.25,44.42
Ann Li,70.83,hard,41.58,55.48,51.17,69.58,43.63,64.53,51.0
Elina Svitolina,70.45,hard,38.61,57.96,49.7,73.69,40.24,68.78,51.37
Ashleigh Barty,84.62,clay,39.0,53.18,43.17,80.08,36.26,75.76,50.48
Serena Williams,80.0,clay,34.17,54.49,57.52,72.26,35.82,67.11,54.83
Clara Tauson,80.0,clay,36.22,57.15,61.78,63.39,37.37,62.68,49.6
Naomi Osaka,78.26,clay,30.69,55.61,41.11,75.04,25.89,73.68,59.26
Garbine Muguruza,76.0,clay,46.14,57.56,64.98,64.99,55.7,61.61,45.3
Anett Kontaveit,75.47,clay,36.99,52.45,41.93,71.04,36.88,68.04,49.33
Danielle Collins,71.79,clay,42.28,61.93,54.32,75.61,50.74,70.03,54.18
Daria Kasatkina,71.05,clay,40.46,64.46,45.33,60.26,45.28,59.24,38.27
Ann Li,70.83,clay,44.72,61.84,37.5,68.75,47.92,57.7,54.72
Elina Svitolina,70.45,clay,40.43,61.39,50.58,66.34,42.99,64.32,53.65
Ashleigh Barty,84.62,grass,42.25,55.13,56.78,80.9,45.19,75.12,47.88
Serena Williams,80.0,grass,35.71,62.5,25.0,66.67,33.33,72.73,33.33
Clara Tauson,80.0,grass,24.74,47.17,16.66,61.66,10.0,71.94,47.65
Naomi Osaka,78.26,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garbine Muguruza,76.0,grass,37.18,67.09,50.2,81.18,48.2,72.06,57.67
Anett Kontaveit,75.47,grass,33.93,57.11,64.81,66.43,33.27,67.41,44.05
Danielle Collins,71.79,grass,27.16,58.05,39.39,46.43,26.38,62.1,38.08
Daria Kasatkina,71.05,grass,41.59,58.8,61.6,64.5,49.08,64.17,41.73
Ann Li,70.83,grass,37.99,55.37,31.09,71.69,32.95,63.25,54.31
Elina Svitolina,70.45,grass,29.07,51.81,36.78,68.07,25.26,68.29,40.94
