player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Ashleigh Barty,100.0,hard,41.35,57.48,60.2,26.93,60.3,81.14,58.61
Iga Swiatek,88.1,hard,45.56,64.21,55.04,98.49,64.91,67.43,49.33
Simona Halep,76.67,hard,43.91,61.86,54.22,160.89,62.38,69.39,51.27
Danielle Collins,75.0,hard,32.12,60.94,51.11,216.83,54.52,73.05,54.08
Liudmila Samsonova,72.0,hard,36.97,56.3,48.21,96.49,57.8,72.6,61.74
Daria Kasatkina,67.74,hard,42.39,60.8,52.05,230.8,67.3,63.0,37.79
Madison Keys,67.74,hard,36.64,53.99,46.35,77.88,63.58,69.0,54.52
Veronika Kudermetova,67.65,hard,34.99,54.35,46.43,55.81,59.53,70.35,75.59
Marie Bouzkova,66.67,hard,41.45,57.79,47.06,102.18,65.14,67.33,50.51
Anett Kontaveit,66.67,hard,37.48,56.69,45.95,124.7,62.85,67.73,47.38
Ashleigh Barty,100.0,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iga Swiatek,88.1,clay,48.1,60.47,60.09,69.75,63.92,69.59,56.27
Simona Halep,76.67,clay,42.17,55.2,55.41,92.33,64.22,70.17,52.76
Danielle Collins,75.0,clay,38.63,51.57,41.16,351.67,53.83,59.13,46.71
Liudmila Samsonova,72.0,clay,39.29,51.24,48.12,77.13,66.85,65.68,49.15
Daria Kasatkina,67.74,clay,43.9,58.44,54.92,66.18,66.85,61.46,35.91
Madison Keys,67.74,clay,35.35,45.54,36.16,79.17,57.49,68.52,66.01
Veronika Kudermetova,67.65,clay,33.34,49.95,42.99,112.5,63.9,58.06,59.12
Marie Bouzkova,66.67,clay,33.89,57.81,37.95,34.33,69.17,64.69,46.17
Anett Kontaveit,66.67,clay,40.51,56.98,46.06,72.65,64.43,61.64,61.68
Ashleigh Barty,100.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iga Swiatek,88.1,grass,36.63,62.6,50.16,18.78,60.97,64.19,43.48
Simona Halep,76.67,grass,43.76,62.1,61.41,79.67,59.02,74.12,54.8
Danielle Collins,75.0,grass,34.92,53.85,83.33,220.0,54.21,68.97,45.45
Liudmila Samsonova,72.0,grass,36.94,42.36,38.12,77.71,47.76,75.25,245.46
Daria Kasatkina,67.74,grass,43.35,58.31,46.39,206.67,62.27,63.04,22.06
Madison Keys,67.74,grass,38.38,63.64,39.78,58.34,61.48,62.5,29.29
Veronika Kudermetova,67.65,grass,31.26,55.34,54.9,76.23,66.05,66.17,47.33
Marie Bouzkova,66.67,grass,37.69,56.54,46.0,122.39,70.22,62.84,49.44
Anett Kontaveit,66.67,grass,31.84,45.22,62.5,62.0,55.18,64.28,55.27
