player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Serena Williams,84.21,hard,42.29,57.24,54.31,48.64,59.66,78.36,59.3
Angelique Kerber,80.95,hard,40.96,54.21,50.4,141.46,66.37,60.04,41.38
Maria Sharapova,80.0,hard,39.89,62.33,45.45,122.89,60.58,72.54,61.35
Petra Kvitova,78.57,hard,39.08,50.42,46.11,157.31,61.38,73.07,98.91
Elina Svitolina,77.78,hard,39.89,52.93,49.35,169.03,62.68,61.42,10.5
Samantha Stosur,76.19,hard,32.62,52.67,40.07,121.12,56.87,69.74,75.66
Karin Knapp,75.0,hard,39.69,46.71,49.31,115.51,62.34,60.31,52.57
Johanna Larsson,75.0,hard,36.51,50.39,54.58,178.04,68.98,60.59,65.63
Carla Suarez Navarro,75.0,hard,36.75,55.37,44.64,110.05,67.67,59.83,67.68
Kristina Mladenovic,73.33,hard,35.35,47.84,36.69,112.51,56.16,65.53,99.76
Serena Williams,84.21,clay,42.46,57.02,57.59,42.88,60.73,72.32,51.78
Angelique Kerber,80.95,clay,43.07,54.77,53.64,18.49,73.67,66.4,50.46
Maria Sharapova,80.0,clay,42.39,49.67,42.95,187.58,63.39,72.05,66.27
Petra Kvitova,78.57,clay,33.76,50.43,54.19,62.69,65.89,72.36,51.33
Elina Svitolina,77.78,clay,41.67,50.08,51.99,72.76,64.66,67.4,11.68
Samantha Stosur,76.19,clay,37.19,52.61,47.97,130.6,63.89,70.86,63.87
Karin Knapp,75.0,clay,45.04,51.2,50.97,245.96,66.48,61.88,49.39
Johanna Larsson,75.0,clay,45.51,54.93,52.14,136.61,70.26,61.34,67.56
Carla Suarez Navarro,75.0,clay,41.39,54.76,42.57,33.38,69.45,62.2,47.5
Kristina Mladenovic,73.33,clay,40.35,46.6,50.09,117.85,60.68,67.17,58.91
Serena Williams,84.21,grass,37.37,64.23,48.89,30.54,59.28,78.63,53.38
Angelique Kerber,80.95,grass,36.28,58.35,40.65,28.08,74.31,71.61,67.02
Maria Sharapova,80.0,grass,38.73,56.96,56.95,352.78,64.14,74.99,36.65
Petra Kvitova,78.57,grass,44.68,55.27,51.39,53.33,65.75,82.69,75.58
Elina Svitolina,77.78,grass,34.01,49.27,40.81,153.33,67.37,63.93,35.94
Samantha Stosur,76.19,grass,32.77,58.58,52.29,106.25,59.6,63.88,40.68
Karin Knapp,75.0,grass,29.21,45.24,42.86,133.33,64.65,67.45,57.77
Johanna Larsson,75.0,grass,32.23,35.35,35.89,223.22,70.94,50.03,40.26
Carla Suarez Navarro,75.0,grass,30.38,44.46,45.33,115.0,69.37,52.5,42.64
Kristina Mladenovic,73.33,grass,31.95,52.51,58.11,47.56,66.92,72.51,42.92
