player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Serena Williams,100.0,hard,39.37,59.09,49.69,81.46,43.48,76.92,51.89
Dominika Cibulkova,90.0,hard,40.05,60.48,53.02,64.51,45.49,62.67,47.36
Madison Keys,88.89,hard,38.38,51.72,50.95,77.24,33.35,72.28,51.25
Caroline Garcia,85.71,hard,33.46,52.35,45.47,68.67,31.32,66.43,49.24
Coco Vandeweghe,84.62,hard,32.33,53.22,46.76,69.83,25.56,71.92,51.25
Venus Williams,83.33,hard,41.49,59.83,52.39,65.15,46.74,64.28,49.33
Elena Vesnina,80.0,hard,35.47,55.5,40.75,64.38,32.19,61.03,56.43
Angelique Kerber,80.0,hard,41.44,59.74,51.29,70.74,47.04,64.99,50.97
Karolina Pliskova,76.92,hard,35.66,53.66,48.87,74.09,33.91,74.7,49.81
Kate Makarova,75.0,hard,37.14,54.35,51.13,66.93,36.0,64.4,50.6
Serena Williams,100.0,clay,44.01,61.66,52.33,82.68,52.2,73.17,53.76
Dominika Cibulkova,90.0,clay,39.01,59.18,47.33,69.98,43.92,64.08,46.58
Madison Keys,88.89,clay,39.69,56.33,51.99,75.98,38.34,64.26,57.95
Caroline Garcia,85.71,clay,33.96,56.64,40.0,65.16,31.68,62.56,56.51
Coco Vandeweghe,84.62,clay,28.47,49.56,37.15,66.48,23.78,69.88,52.18
Venus Williams,83.33,clay,37.83,53.48,51.51,72.13,38.57,67.53,60.96
Elena Vesnina,80.0,clay,43.43,59.95,49.83,64.97,48.8,59.41,45.05
Angelique Kerber,80.0,clay,40.97,54.89,56.73,65.01,40.03,63.04,45.78
Karolina Pliskova,76.92,clay,39.77,55.73,48.14,75.0,40.87,73.01,48.09
Kate Makarova,75.0,clay,32.18,52.27,54.1,61.08,34.78,62.28,41.19
Serena Williams,100.0,grass,44.48,60.19,54.59,91.55,46.76,83.87,50.33
Dominika Cibulkova,90.0,grass,39.02,57.47,40.87,77.33,39.99,65.74,47.25
Madison Keys,88.89,grass,39.76,48.06,48.08,82.52,35.11,72.95,53.92
Caroline Garcia,85.71,grass,31.43,56.63,50.23,80.27,33.08,75.51,52.08
Coco Vandeweghe,84.62,grass,38.97,52.84,48.87,82.92,39.53,75.37,64.4
Venus Williams,83.33,grass,35.6,58.82,49.84,70.55,34.77,66.39,45.84
Elena Vesnina,80.0,grass,34.81,53.17,55.27,73.4,32.24,66.57,46.6
Angelique Kerber,80.0,grass,38.38,58.05,40.8,81.29,39.42,71.7,54.34
Karolina Pliskova,76.92,grass,38.74,57.55,39.54,82.36,36.67,77.05,49.63
Kate Makarova,75.0,grass,35.94,56.36,52.04,76.95,36.08,68.74,50.05
