player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Simona Halep,86.96,hard,38.39,58.79,49.12,64.48,38.61,64.67,49.13
Elina Svitolina,83.33,hard,41.57,59.98,48.08,63.16,42.32,68.98,50.14
Jelena Ostapenko,80.0,hard,41.91,59.6,48.61,56.3,44.16,66.18,49.27
Kristina Mladenovic,78.95,hard,38.18,53.58,42.02,59.5,34.35,64.11,47.8
Kiki Bertens,77.42,hard,37.17,56.81,44.86,59.14,35.7,68.28,48.84
Laura Siegemund,75.0,hard,37.53,50.27,33.39,46.44,31.56,54.66,41.53
Francesca Schiavone,71.43,hard,27.59,47.22,31.11,49.75,14.86,59.62,62.71
Daria Kasatkina,69.23,hard,39.66,58.05,46.44,52.77,36.89,59.29,42.36
Timea Bacsinszky,69.23,hard,32.51,53.42,48.6,61.86,32.99,57.42,48.32
Svetlana Kuznetsova,69.23,hard,42.37,56.96,54.03,65.07,41.15,64.18,51.15
Simona Halep,86.96,clay,46.09,61.51,56.16,52.28,38.18,64.85,48.2
Elina Svitolina,83.33,clay,41.99,56.08,52.72,52.31,36.14,67.41,46.64
Jelena Ostapenko,80.0,clay,41.86,60.14,48.71,42.52,29.01,66.66,48.85
Kristina Mladenovic,78.95,clay,38.32,62.41,52.89,60.56,25.74,72.13,49.98
Kiki Bertens,77.42,clay,42.89,57.2,56.65,71.79,42.04,74.23,46.69
Laura Siegemund,75.0,clay,43.04,62.51,51.68,66.2,48.73,61.12,44.52
Francesca Schiavone,71.43,clay,39.39,57.67,49.43,68.4,41.57,65.24,49.79
Daria Kasatkina,69.23,clay,42.73,58.48,54.1,55.75,40.7,59.36,53.58
Timea Bacsinszky,69.23,clay,45.67,63.48,46.43,36.75,23.85,63.16,52.99
Svetlana Kuznetsova,69.23,clay,39.21,54.24,53.06,51.42,25.27,62.73,49.25
Simona Halep,86.96,grass,36.65,51.74,41.2,24.0,13.97,63.67,51.27
Elina Svitolina,83.33,grass,38.78,54.79,50.74,22.78,10.71,64.93,51.13
Jelena Ostapenko,80.0,grass,37.32,54.83,54.46,16.67,11.06,67.37,58.4
Kristina Mladenovic,78.95,grass,37.09,52.14,54.49,60.99,25.07,75.35,47.78
Kiki Bertens,77.42,grass,35.03,52.0,48.15,35.71,29.1,66.22,29.55
Laura Siegemund,75.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesca Schiavone,71.43,grass,35.21,48.66,59.59,38.92,16.48,69.27,54.17
Daria Kasatkina,69.23,grass,29.61,40.48,27.78,0.0,0.0,63.6,52.48
Timea Bacsinszky,69.23,grass,42.82,55.68,56.47,20.0,6.67,76.61,65.38
Svetlana Kuznetsova,69.23,grass,31.48,63.95,52.79,25.32,11.96,67.14,51.12
