player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Karolina Pliskova,76.47,hard,37.74,58.6,48.33,72.77,37.1,75.81,49.96
Elina Svitolina,75.56,hard,41.57,59.98,48.08,63.16,42.32,68.98,50.14
Madison Keys,75.0,hard,38.22,54.1,46.52,53.17,23.32,70.72,54.43
Caroline Wozniacki,74.55,hard,41.1,61.0,51.32,71.28,45.63,66.68,49.11
Maria Sharapova,73.33,hard,37.45,60.43,52.4,48.93,28.05,69.91,44.45
Julia Goerges,71.43,hard,33.48,56.49,48.72,70.55,28.73,72.66,52.97
Johanna Konta,70.59,hard,36.44,58.41,51.47,77.03,37.36,70.84,50.91
Venus Williams,70.27,hard,38.13,57.27,45.83,56.03,33.82,67.8,44.34
Ashleigh Barty,69.7,hard,38.0,53.88,52.17,69.04,35.35,71.43,49.58
Lucie Safarova,69.44,hard,35.74,57.1,48.79,70.36,33.15,72.75,50.13
Karolina Pliskova,76.47,clay,37.46,51.39,40.88,43.79,16.24,71.58,51.39
Elina Svitolina,75.56,clay,41.99,56.08,52.72,52.31,36.14,67.41,46.64
Madison Keys,75.0,clay,37.13,55.53,53.07,30.33,21.67,62.23,45.31
Caroline Wozniacki,74.55,clay,45.04,55.91,60.5,45.96,33.69,61.64,43.53
Maria Sharapova,73.33,clay,33.34,60.74,44.1,78.14,40.35,73.52,49.66
Julia Goerges,71.43,clay,36.11,49.01,46.75,66.44,25.84,69.37,53.68
Johanna Konta,70.59,clay,38.18,51.36,41.98,59.82,29.9,64.97,51.01
Venus Williams,70.27,clay,47.13,50.24,51.69,36.45,22.34,67.21,46.0
Ashleigh Barty,69.7,clay,45.55,58.92,65.45,63.24,45.41,75.94,53.16
Lucie Safarova,69.44,clay,34.17,46.9,42.57,52.06,21.54,63.66,48.67
Karolina Pliskova,76.47,grass,33.84,56.24,42.87,50.39,16.94,72.79,48.63
Elina Svitolina,75.56,grass,38.78,54.79,50.74,22.78,10.71,64.93,51.13
Madison Keys,75.0,grass,33.21,58.82,47.92,0.0,0.0,71.78,55.28
Caroline Wozniacki,74.55,grass,36.58,56.46,44.85,43.21,22.06,68.86,50.28
Maria Sharapova,73.33,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julia Goerges,71.43,grass,43.21,61.71,52.49,73.15,46.39,77.02,46.12
Johanna Konta,70.59,grass,37.65,54.61,41.81,47.06,24.15,69.31,49.06
Venus Williams,70.27,grass,35.72,53.65,38.65,0.0,0.0,75.16,48.22
Ashleigh Barty,69.7,grass,33.21,54.56,49.88,72.39,30.91,71.47,53.68
Lucie Safarova,69.44,grass,32.35,52.14,41.75,58.06,21.07,70.94,42.06
