player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Iga Swiatek,94.74,hard,45.56,64.21,55.04,75.46,56.62,67.43,49.33
Bernarda Pera,84.62,hard,35.74,50.99,46.77,71.57,34.59,66.62,55.23
Ons Jabeur,80.95,hard,38.88,55.3,54.01,68.65,36.95,67.57,49.48
Anastasia Potapova,78.57,hard,36.64,55.77,45.25,65.14,33.33,66.07,46.09
Caroline Garcia,78.57,hard,31.03,53.43,47.01,79.09,26.56,71.01,48.19
Belinda Bencic,76.47,hard,35.03,58.09,52.75,78.19,35.33,71.73,49.04
Amanda Anisimova,76.47,hard,35.89,53.45,49.68,69.78,33.28,66.35,48.63
Jessica Pegula,75.0,hard,38.81,56.82,43.97,73.79,39.48,69.58,49.99
Martina Trevisan,75.0,hard,35.15,48.81,51.88,64.84,29.66,61.85,42.34
Kaja Juvan,75.0,hard,36.0,56.73,47.93,64.4,37.66,62.61,53.91
Iga Swiatek,94.74,clay,48.1,60.47,60.09,81.94,58.52,69.59,56.27
Bernarda Pera,84.62,clay,43.85,59.29,53.68,81.68,51.13,70.03,52.78
Ons Jabeur,80.95,clay,41.82,57.94,51.75,72.05,45.67,69.48,48.65
Anastasia Potapova,78.57,clay,46.68,59.32,55.7,68.26,51.07,61.68,50.56
Caroline Garcia,78.57,clay,40.03,52.72,49.61,85.08,37.35,70.32,55.88
Belinda Bencic,76.47,clay,34.31,56.39,46.86,78.44,32.36,71.62,52.2
Amanda Anisimova,76.47,clay,37.81,61.58,55.5,73.51,46.19,66.58,45.28
Jessica Pegula,75.0,clay,43.66,57.78,51.18,67.35,47.44,63.78,51.61
Martina Trevisan,75.0,clay,46.35,60.78,55.96,60.92,52.21,60.96,37.25
Kaja Juvan,75.0,clay,41.04,70.78,56.85,74.8,55.38,64.01,59.96
Iga Swiatek,94.74,grass,36.63,62.6,50.16,66.48,45.5,64.19,43.48
Bernarda Pera,84.62,grass,28.57,48.28,20.0,44.44,20.0,57.14,55.56
Ons Jabeur,80.95,grass,43.02,55.83,56.02,83.58,43.16,72.25,63.19
Anastasia Potapova,78.57,grass,28.07,52.08,42.86,66.67,20.0,62.9,43.48
Caroline Garcia,78.57,grass,33.07,45.72,49.42,78.8,23.41,73.3,45.92
Belinda Bencic,76.47,grass,30.18,57.23,32.48,74.43,25.81,68.63,46.75
Amanda Anisimova,76.47,grass,34.71,52.07,44.96,77.23,32.56,68.17,49.7
Jessica Pegula,75.0,grass,32.96,60.79,54.55,71.56,33.4,63.54,52.71
Martina Trevisan,75.0,grass,30.24,39.85,50.0,26.78,12.5,46.5,23.35
Kaja Juvan,75.0,grass,33.93,46.15,39.35,74.33,27.95,67.47,52.68
