player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Iga Swiatek,85.71,hard,35.04,58.33,43.37,76.62,39.09,71.0,53.62
Paula Badosa,85.0,hard,32.38,56.79,48.23,72.54,33.41,68.15,42.79
Barbora Krejcikova,83.33,hard,36.89,53.91,48.44,77.77,36.06,69.26,52.58
Maryna Zanevska,81.82,hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elena Gabriela Ruse,81.82,hard,34.09,58.31,36.55,52.85,34.84,61.18,41.78
Aryna Sabalenka,81.25,hard,35.83,55.97,46.34,73.52,36.25,70.36,51.39
Cori Gauff,80.0,hard,35.45,50.25,44.18,71.31,36.56,68.76,51.92
Sorana Cirstea,80.0,hard,36.21,54.41,48.01,66.34,34.7,64.22,48.88
Camila Osorio,78.57,hard,39.48,54.83,53.44,55.14,37.31,60.13,39.36
Danielle Collins,78.57,hard,36.66,58.09,54.56,75.04,40.37,71.42,50.39
Iga Swiatek,85.71,clay,40.25,61.81,45.61,80.22,48.82,70.2,57.02
Paula Badosa,85.0,clay,43.33,58.58,51.43,76.81,48.22,72.09,46.2
Barbora Krejcikova,83.33,clay,41.51,56.25,52.98,77.12,46.49,71.13,46.82
Maryna Zanevska,81.82,clay,42.66,63.7,48.98,72.68,49.68,67.15,51.77
Elena Gabriela Ruse,81.82,clay,40.36,63.33,43.18,53.6,45.97,62.32,46.86
Aryna Sabalenka,81.25,clay,43.44,55.96,56.06,79.81,45.49,71.67,52.56
Cori Gauff,80.0,clay,39.1,57.72,43.12,72.07,44.31,69.13,46.64
Sorana Cirstea,80.0,clay,41.3,59.2,48.9,65.08,40.37,63.18,52.28
Camila Osorio,78.57,clay,47.07,59.09,48.76,59.24,53.46,63.15,39.05
Danielle Collins,78.57,clay,42.28,61.93,54.32,75.61,50.74,70.03,54.18
Iga Swiatek,85.71,grass,37.27,61.48,40.86,73.22,42.9,70.34,57.32
Paula Badosa,85.0,grass,38.32,52.92,40.55,74.67,36.31,70.46,43.87
Barbora Krejcikova,83.33,grass,27.17,63.45,51.11,79.57,32.02,69.77,49.65
Maryna Zanevska,81.82,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elena Gabriela Ruse,81.82,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aryna Sabalenka,81.25,grass,37.45,54.04,64.29,81.5,40.86,70.68,48.89
Cori Gauff,80.0,grass,30.92,57.42,48.83,75.56,30.74,70.39,50.94
Sorana Cirstea,80.0,grass,28.05,56.65,50.86,61.1,26.36,65.91,37.5
Camila Osorio,78.57,grass,39.63,48.18,37.64,52.04,32.39,56.96,38.8
Danielle Collins,78.57,grass,27.16,58.05,39.39,46.43,26.38,62.1,38.08
