player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Victoria Azarenka,91.67,hard,44.35,66.96,50.92,158.77,65.48,74.71,48.12
Serena Williams,80.0,hard,39.37,59.09,49.69,55.24,59.21,76.92,51.89
Angelique Kerber,77.59,hard,41.44,59.74,51.29,133.6,63.51,64.99,56.49
Agnieszka Radwanska,76.79,hard,43.17,60.7,56.87,80.01,60.81,67.73,49.9
Johanna Konta,71.7,hard,40.0,56.42,47.22,74.0,60.53,70.49,70.5
Lauren Davis,69.57,hard,40.09,55.55,49.93,116.28,57.52,63.71,49.8
Petra Kvitova,69.23,hard,39.96,56.65,50.68,137.14,61.94,70.39,53.33
Elina Svitolina,69.23,hard,37.78,58.46,51.9,95.26,62.28,63.67,50.58
Dominika Cibulkova,69.09,hard,40.05,60.48,53.02,125.35,65.03,62.67,49.08
Caroline Wozniacki,68.89,hard,40.88,59.0,55.43,127.3,66.76,66.53,50.95
Victoria Azarenka,91.67,clay,34.08,67.1,57.39,169.86,67.09,66.98,49.0
Serena Williams,80.0,clay,44.01,61.66,52.33,46.06,62.63,73.17,53.76
Angelique Kerber,77.59,clay,40.97,54.89,56.73,110.53,66.55,63.04,45.78
Agnieszka Radwanska,76.79,clay,44.61,63.57,59.27,132.92,63.21,62.85,40.12
Johanna Konta,71.7,clay,36.51,51.59,61.21,59.72,60.63,60.03,49.22
Lauren Davis,69.57,clay,33.16,54.66,39.44,150.0,61.74,55.14,50.31
Petra Kvitova,69.23,clay,37.95,55.02,46.88,156.45,59.85,69.3,58.43
Elina Svitolina,69.23,clay,35.34,55.88,46.35,97.47,59.31,66.33,45.58
Dominika Cibulkova,69.09,clay,39.01,59.18,47.33,107.61,70.76,64.08,62.14
Caroline Wozniacki,68.89,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria Azarenka,91.67,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serena Williams,80.0,grass,44.48,60.19,54.59,37.85,67.88,83.87,50.33
Angelique Kerber,77.59,grass,38.38,58.05,40.8,83.43,67.42,71.7,54.34
Agnieszka Radwanska,76.79,grass,39.6,56.55,57.82,45.0,66.66,66.78,46.44
Johanna Konta,71.7,grass,38.32,55.48,45.59,102.83,66.03,67.27,47.18
Lauren Davis,69.57,grass,30.3,42.86,100.0,300.0,73.91,55.88,15.38
Petra Kvitova,69.23,grass,33.31,60.42,35.56,73.85,66.0,70.95,59.15
Elina Svitolina,69.23,grass,32.7,50.58,51.85,72.56,66.24,73.94,53.39
Dominika Cibulkova,69.09,grass,39.02,57.47,40.87,71.5,69.22,65.74,47.25
Caroline Wozniacki,68.89,grass,36.87,55.41,53.74,14.43,74.24,63.75,51.68
