player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Serena Williams,85.71,hard,37.4,56.81,47.2,74.04,37.64,71.32,54.58
Caroline Wozniacki,85.71,hard,41.69,55.69,51.15,74.96,43.82,69.08,46.84
Angelique Kerber,83.33,hard,43.24,54.69,50.32,70.95,44.47,66.12,49.02
Ashleigh Barty,80.0,hard,36.12,56.03,48.04,76.45,33.83,71.22,57.72
Jelena Ostapenko,77.78,hard,36.45,58.81,56.97,54.69,37.46,60.73,47.96
Petra Kvitova,75.0,hard,39.03,54.37,49.91,71.69,38.38,69.03,49.11
Tatjana Maria,75.0,hard,30.8,48.31,47.4,53.62,23.69,64.01,48.5
Aleksandra Krunic,75.0,hard,33.14,52.77,36.11,57.42,25.92,60.2,48.21
Kirsten Flipkens,71.43,hard,34.76,51.56,46.91,57.66,29.66,62.25,45.44
Agnieszka Radwanska,71.43,hard,34.54,59.01,46.64,55.71,34.36,60.21,48.02
Serena Williams,85.71,clay,30.77,53.43,59.09,85.84,27.34,78.83,48.19
Caroline Wozniacki,85.71,clay,42.63,62.01,57.75,70.1,48.64,63.32,48.02
Angelique Kerber,83.33,clay,40.76,55.85,52.54,65.01,40.84,61.35,54.21
Ashleigh Barty,80.0,clay,33.7,51.44,53.32,82.78,27.68,71.05,56.19
Jelena Ostapenko,77.78,clay,36.69,59.89,52.13,69.88,36.57,68.83,50.29
Petra Kvitova,75.0,clay,40.26,59.68,51.1,81.69,43.09,71.19,55.24
Tatjana Maria,75.0,clay,36.1,46.59,39.5,60.93,25.97,60.38,58.47
Aleksandra Krunic,75.0,clay,38.54,53.97,38.89,65.06,37.35,61.05,44.86
Kirsten Flipkens,71.43,clay,33.75,55.24,42.31,61.85,28.25,58.13,46.63
Agnieszka Radwanska,71.43,clay,17.65,50.0,0.0,25.0,0.0,47.06,38.46
Serena Williams,85.71,grass,39.79,50.72,57.66,84.46,33.55,77.94,46.76
Caroline Wozniacki,85.71,grass,38.8,60.41,63.15,74.2,46.67,71.28,41.92
Angelique Kerber,83.33,grass,44.46,62.98,55.81,75.36,47.79,67.25,58.23
Ashleigh Barty,80.0,grass,36.68,58.28,43.06,83.67,38.54,75.89,55.46
Jelena Ostapenko,77.78,grass,39.43,66.84,52.34,69.95,49.29,69.52,49.98
Petra Kvitova,75.0,grass,36.75,62.67,49.63,73.11,36.77,71.96,51.02
Tatjana Maria,75.0,grass,33.57,49.76,56.36,72.84,26.72,69.32,42.54
Aleksandra Krunic,75.0,grass,41.03,52.07,41.62,76.73,41.21,63.25,53.26
Kirsten Flipkens,71.43,grass,35.25,58.56,57.76,69.85,39.0,65.69,47.49
Agnieszka Radwanska,71.43,grass,39.29,64.34,41.96,56.82,40.18,61.89,53.04
