player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Ons Jabeur,91.67,hard,38.88,55.3,54.01,68.65,36.95,67.57,49.48
Beatriz Haddad Maia,86.67,hard,37.67,53.61,47.22,68.97,37.45,67.55,44.01
Ekaterina Alexandrova,85.71,hard,34.67,50.76,51.53,69.35,30.67,68.38,47.61
Elena Rybakina,80.0,hard,35.66,50.89,37.4,78.66,31.78,74.38,55.71
Simona Halep,78.57,hard,43.91,61.86,54.22,76.04,49.82,69.39,51.27
Petra Kvitova,77.78,hard,34.12,54.53,57.38,71.2,33.6,69.07,43.16
Caroline Garcia,76.92,hard,31.03,53.43,47.01,79.09,26.56,71.01,48.19
Amanda Anisimova,75.0,hard,35.89,53.45,49.68,69.78,33.28,66.35,48.63
Shuai Zhang,72.73,hard,33.98,55.29,47.24,70.38,34.99,65.45,50.11
Jelena Ostapenko,72.73,hard,37.13,58.76,52.83,71.26,41.98,65.69,46.96
Ons Jabeur,91.67,clay,41.82,57.94,51.75,72.05,45.67,69.48,48.65
Beatriz Haddad Maia,86.67,clay,33.63,54.77,50.43,54.76,30.88,57.83,38.26
Ekaterina Alexandrova,85.71,clay,38.39,58.12,48.71,77.03,40.52,74.7,47.65
Elena Rybakina,80.0,clay,38.48,62.21,53.99,70.9,44.44,67.14,53.14
Simona Halep,78.57,clay,42.17,55.2,55.41,70.08,43.2,70.17,52.76
Petra Kvitova,77.78,clay,33.64,55.33,72.22,59.58,31.29,62.12,48.08
Caroline Garcia,76.92,clay,40.03,52.72,49.61,85.08,37.35,70.32,55.88
Amanda Anisimova,75.0,clay,37.81,61.58,55.5,73.51,46.19,66.58,45.28
Shuai Zhang,72.73,clay,34.44,54.32,42.94,53.36,33.06,57.72,39.67
Jelena Ostapenko,72.73,clay,23.1,55.88,40.84,41.66,30.36,53.54,24.86
Ons Jabeur,91.67,grass,43.02,55.83,56.02,83.58,43.16,72.25,63.19
Beatriz Haddad Maia,86.67,grass,35.79,53.2,43.82,83.49,31.89,70.8,52.48
Ekaterina Alexandrova,85.71,grass,39.73,64.37,66.24,81.64,48.41,74.97,57.26
Elena Rybakina,80.0,grass,30.58,52.08,53.36,83.47,26.56,75.67,61.69
Simona Halep,78.57,grass,43.76,62.1,61.41,80.22,51.94,74.12,54.8
Petra Kvitova,77.78,grass,33.95,52.78,43.42,87.58,24.83,72.28,56.83
Caroline Garcia,76.92,grass,33.07,45.72,49.42,78.8,23.41,73.3,45.92
Amanda Anisimova,75.0,grass,34.71,52.07,44.96,77.23,32.56,68.17,49.7
Shuai Zhang,72.73,grass,32.69,55.02,51.04,77.28,31.55,68.56,47.61
Jelena Ostapenko,72.73,grass,33.76,60.5,49.89,78.19,41.27,72.42,49.96
