player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Serena Williams,91.67,39.37,59.09,49.69,55.24,59.21,76.92,51.89,44.01,61.66,52.33,46.06,62.63,73.17,53.76,44.48,60.19,54.59,37.85,67.88,83.87,50.33
Garbine Muguruza,82.35,38.21,55.7,55.71,126.77,60.83,67.19,53.46,43.81,59.61,52.85,110.12,60.74,75.19,54.46,34.98,41.77,20.91,217.46,61.43,66.86,167.69
Timea Bacsinszky,80.95,37.27,53.63,39.61,79.54,65.86,61.11,55.2,44.19,60.25,50.64,91.19,70.93,61.92,52.79,33.56,57.85,41.11,150.75,68.96,61.04,56.35
Kiki Bertens,79.17,38.69,54.58,43.55,115.89,56.7,66.86,84.05,42.72,55.44,49.54,68.19,62.47,69.36,54.97,38.36,51.48,41.48,83.33,62.55,72.55,45.43
Simona Halep,78.95,41.13,60.02,47.75,86.97,65.84,63.24,65.53,44.54,63.3,58.39,90.67,64.36,64.9,44.92,44.41,61.2,69.92,130.2,71.83,66.27,47.7
Sloane Stephens,75.0,37.44,54.48,49.92,52.71,63.26,65.01,45.03,40.44,50.91,44.76,51.03,68.84,62.26,47.33,35.72,46.3,38.64,166.67,66.42,67.92,55.3
Laura Siegemund,75.0,35.02,55.63,40.48,153.95,68.63,57.14,49.51,43.35,58.9,60.73,95.15,73.05,61.19,45.77,35.75,49.35,34.72,113.5,66.25,63.8,56.33
Dominika Cibulkova,75.0,40.05,60.48,53.02,125.35,65.03,62.67,49.08,39.01,59.18,47.33,107.61,70.76,64.08,62.14,39.02,57.47,40.87,71.5,69.22,65.74,47.25
Madison Keys,73.33,38.38,51.72,50.95,75.61,60.84,72.28,53.81,39.69,56.33,51.99,48.58,67.75,64.26,57.95,39.76,48.06,48.08,71.07,67.55,72.95,61.0
Irina Falconi,72.73,32.37,52.62,55.24,105.39,56.69,57.37,55.71,38.7,53.67,47.15,162.36,65.67,62.9,50.69,32.53,48.48,44.44,57.14,65.14,66.2,69.23
