player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Venus Williams,100.0,hard,0,0,0,0,0,0,0
Miho Saeki,93.33,hard,0,0,0,0,0,0,0
Justine Henin,90.91,hard,0,0,0,0,0,0,0
Lindsay Davenport,90.0,hard,0,0,0,0,0,0,0
Jennifer Capriati,83.33,hard,0,0,0,0,0,0,0
Nathalie Tauziat,81.82,hard,0,0,0,0,0,0,0
Beti Sekulovski,77.78,hard,0,0,0,0,0,0,0
Kim Clijsters,77.78,hard,0,0,0,0,0,0,0
Kristen Van Elden,76.47,hard,0,0,0,0,0,0,0
Conchita Martinez,71.43,hard,0,0,0,0,0,0,0
Venus Williams,100.0,clay,0,0,0,0,0,0,0
Miho Saeki,93.33,clay,0,0,0,0,0,0,0
Justine Henin,90.91,clay,0,0,0,0,0,0,0
Lindsay Davenport,90.0,clay,0,0,0,0,0,0,0
Jennifer Capriati,83.33,clay,0,0,0,0,0,0,0
Nathalie Tauziat,81.82,clay,0,0,0,0,0,0,0
Beti Sekulovski,77.78,clay,0,0,0,0,0,0,0
Kim Clijsters,77.78,clay,0,0,0,0,0,0,0
Kristen Van Elden,76.47,clay,0,0,0,0,0,0,0
Conchita Martinez,71.43,clay,0,0,0,0,0,0,0
Venus Williams,100.0,grass,0,0,0,0,0,0,0
Miho Saeki,93.33,grass,0,0,0,0,0,0,0
Justine Henin,90.91,grass,0,0,0,0,0,0,0
Lindsay Davenport,90.0,grass,0,0,0,0,0,0,0
Jennifer Capriati,83.33,grass,0,0,0,0,0,0,0
Nathalie Tauziat,81.82,grass,0,0,0,0,0,0,0
Beti Sekulovski,77.78,grass,0,0,0,0,0,0,0
Kim Clijsters,77.78,grass,0,0,0,0,0,0,0
Kristen Van Elden,76.47,grass,0,0,0,0,0,0,0
Conchita Martinez,71.43,grass,0,0,0,0,0,0,0
