player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Serena Williams,100.0,hard,0,0,0,0,0,0,0
Lisa Mcshea,89.47,hard,0,0,0,0,0,0,0
Chanda Rubin,88.89,hard,0,0,0,0,0,0,0
Venus Williams,85.71,hard,0,0,0,0,0,0,0
Eleni Daniilidou,84.62,hard,0,0,0,0,0,0,0
Jelena Dokic,80.0,hard,0,0,0,0,0,0,0
Elena Dementieva,77.78,hard,0,0,0,0,0,0,0
Justine Henin,77.78,hard,0,0,0,0,0,0,0
Amelie Mauresmo,77.78,hard,0,0,0,0,0,0,0
Anastasia Myskina,76.92,hard,0,0,0,0,0,0,0
Serena Williams,100.0,clay,0,0,0,0,0,0,0
Lisa Mcshea,89.47,clay,0,0,0,0,0,0,0
Chanda Rubin,88.89,clay,0,0,0,0,0,0,0
Venus Williams,85.71,clay,0,0,0,0,0,0,0
Eleni Daniilidou,84.62,clay,0,0,0,0,0,0,0
Jelena Dokic,80.0,clay,0,0,0,0,0,0,0
Elena Dementieva,77.78,clay,0,0,0,0,0,0,0
Justine Henin,77.78,clay,0,0,0,0,0,0,0
Amelie Mauresmo,77.78,clay,0,0,0,0,0,0,0
Anastasia Myskina,76.92,clay,0,0,0,0,0,0,0
Serena Williams,100.0,grass,0,0,0,0,0,0,0
Lisa Mcshea,89.47,grass,0,0,0,0,0,0,0
Chanda Rubin,88.89,grass,0,0,0,0,0,0,0
Venus Williams,85.71,grass,0,0,0,0,0,0,0
Eleni Daniilidou,84.62,grass,0,0,0,0,0,0,0
Jelena Dokic,80.0,grass,0,0,0,0,0,0,0
Elena Dementieva,77.78,grass,0,0,0,0,0,0,0
Justine Henin,77.78,grass,0,0,0,0,0,0,0
Amelie Mauresmo,77.78,grass,0,0,0,0,0,0,0
Anastasia Myskina,76.92,grass,0,0,0,0,0,0,0
