player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Maria Sharapova,95.0,hard,43.66,60.36,50.75,177.95,67.32,66.39,49.85
Serena Williams,89.47,hard,44.08,61.07,52.77,,58.02,77.65,52.66
Sara Errani,87.88,hard,41.45,58.2,55.73,,75.6,57.7,48.09
Kaia Kanepi,80.0,hard,36.75,56.24,51.51,132.67,57.77,72.73,49.27
Samantha Stosur,78.26,hard,34.73,54.08,44.33,114.61,64.39,69.14,45.21
Paula Ormaechea,75.0,hard,35.83,61.04,43.59,400.0,60.89,59.48,43.12
Victoria Azarenka,75.0,hard,47.54,65.36,59.21,141.41,66.73,67.68,52.91
Na Li,75.0,hard,42.37,60.05,51.91,137.97,68.04,64.51,55.47
Agnieszka Radwanska,75.0,hard,42.47,59.28,56.91,80.67,67.06,65.37,46.82
Yaroslava Shvedova,72.73,hard,36.56,56.87,51.12,123.83,60.08,65.37,57.04
Maria Sharapova,95.0,clay,42.39,61.67,50.53,138.87,64.58,72.83,48.41
Serena Williams,89.47,clay,43.79,61.8,55.45,19.47,58.72,80.22,76.68
Sara Errani,87.88,clay,49.82,61.45,58.77,,76.74,62.8,46.05
Kaia Kanepi,80.0,clay,46.18,59.32,50.29,210.44,56.07,68.05,48.84
Samantha Stosur,78.26,clay,36.95,54.55,46.14,67.63,66.22,66.31,53.86
Paula Ormaechea,75.0,clay,35.88,56.0,47.76,191.6,60.34,57.3,48.64
Victoria Azarenka,75.0,clay,35.16,58.99,39.47,198.95,69.36,70.71,41.81
Na Li,75.0,clay,38.91,53.62,45.97,49.05,69.85,68.33,55.1
Agnieszka Radwanska,75.0,clay,44.88,59.27,51.57,20.38,65.55,68.3,49.64
Yaroslava Shvedova,72.73,clay,40.9,66.59,46.0,218.74,62.46,66.98,51.89
Maria Sharapova,95.0,grass,38.33,53.12,56.57,156.94,63.58,69.31,58.42
Serena Williams,89.47,grass,42.33,53.43,53.48,11.18,66.59,80.75,66.86
Sara Errani,87.88,grass,35.77,58.96,58.67,1.0,75.58,56.14,35.36
Kaia Kanepi,80.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samantha Stosur,78.26,grass,39.55,50.53,37.29,165.36,58.74,67.26,79.74
Paula Ormaechea,75.0,grass,28.85,48.39,30.0,300.0,56.73,76.27,30.77
Victoria Azarenka,75.0,grass,38.94,61.04,55.5,256.02,71.05,70.84,50.81
Na Li,75.0,grass,40.07,48.73,61.11,178.44,72.59,57.7,55.18
Agnieszka Radwanska,75.0,grass,31.31,59.24,59.87,,71.69,69.6,41.47
Yaroslava Shvedova,72.73,grass,36.8,54.09,45.51,167.62,61.24,73.96,55.49
