player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Anett Kontaveit,87.5,hard,36.39,56.94,43.42,67.11,35.34,67.25,49.12
Petra Kvitova,85.71,hard,36.84,52.1,44.71,51.57,20.87,74.19,51.22
Karolina Pliskova,85.71,hard,37.74,58.6,48.33,72.77,37.1,75.81,49.96
Venus Williams,85.71,hard,38.13,57.27,45.83,56.03,33.82,67.8,44.34
Garbine Muguruza,83.33,hard,38.16,58.62,53.1,61.24,37.15,65.95,45.66
Magdalena Rybarikova,80.0,hard,37.64,54.02,44.64,51.29,26.68,64.84,45.92
Caroline Wozniacki,77.78,hard,41.1,61.0,51.32,71.28,45.63,66.68,49.11
Johanna Konta,76.47,hard,36.44,58.41,51.47,77.03,37.36,70.84,50.91
Donna Vekic,75.0,hard,35.6,52.41,49.46,54.13,30.08,64.18,46.6
Anastasija Sevastova,75.0,hard,38.4,54.67,52.67,55.4,29.76,64.86,48.14
Anett Kontaveit,87.5,clay,37.87,54.32,40.75,67.81,32.83,70.05,46.69
Petra Kvitova,85.71,clay,34.36,54.48,39.28,0.0,0.0,73.35,38.56
Karolina Pliskova,85.71,clay,37.46,51.39,40.88,43.79,16.24,71.58,51.39
Venus Williams,85.71,clay,47.13,50.24,51.69,36.45,22.34,67.21,46.0
Garbine Muguruza,83.33,clay,37.22,55.8,46.12,39.14,16.44,60.21,47.45
Magdalena Rybarikova,80.0,clay,39.64,57.02,62.5,0.0,0.0,70.28,63.18
Caroline Wozniacki,77.78,clay,45.04,55.91,60.5,45.96,33.69,61.64,43.53
Johanna Konta,76.47,clay,38.18,51.36,41.98,59.82,29.9,64.97,51.01
Donna Vekic,75.0,clay,32.34,52.67,49.15,51.3,17.36,60.02,45.27
Anastasija Sevastova,75.0,clay,40.2,56.48,54.84,60.0,35.8,61.17,51.33
Anett Kontaveit,87.5,grass,37.74,60.03,59.54,54.01,29.09,71.93,51.83
Petra Kvitova,85.71,grass,43.77,53.44,51.76,65.77,32.6,76.07,51.93
Karolina Pliskova,85.71,grass,33.84,56.24,42.87,50.39,16.94,72.79,48.63
Venus Williams,85.71,grass,35.72,53.65,38.65,0.0,0.0,75.16,48.22
Garbine Muguruza,83.33,grass,34.6,55.98,46.11,29.38,11.82,70.98,47.51
Magdalena Rybarikova,80.0,grass,40.1,53.97,61.63,32.39,16.62,68.75,44.8
Caroline Wozniacki,77.78,grass,36.58,56.46,44.85,43.21,22.06,68.86,50.28
Johanna Konta,76.47,grass,37.65,54.61,41.81,47.06,24.15,69.31,49.06
Donna Vekic,75.0,grass,28.89,56.65,42.85,61.75,19.96,73.2,60.45
Anastasija Sevastova,75.0,grass,40.73,56.64,57.23,52.73,29.23,63.74,49.02
